,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
1128,1128,16826119.0,24617.05782981464,4.062223873028655e-05,0.07036998004810516,0.1728277976226353,0.27426619363809934,0.37469531243785703,0.4741251926190105,0.572565778691871,0.6662398311584644,0.7589818569207533,0.8508011299837603,0.941706833152576,1.031708052504333,5850.6533958435275,8332.086657766858,10788.830508389186,13221.130537148098,18619.548113316778,23964.253304715578,29255.780447790417,34494.65858668129,39681.41156141719,44816.558115031825
1129,1129,16827860.0,25780.987470283562,3.87882737677387e-05,0.03774461755061523,0.1381737363503729,0.23760361653152634,0.33604420260438683,0.4297182550709803,0.5224602808332691,0.6142795538962762,0.7051852570650918,0.7951864764168488,0.8842922151579407,0.9725113786953461,6771.583955779024,9303.142941636535,11809.513803753809,14290.94706567714,16747.690916299467,19179.99094505838,24578.40852122706,29923.113712625858,35214.6408557007,40453.51899459157
1130,1130,16828767.0,24558.050678235413,4.071984430288071e-05,0.08312120042102493,0.18557901799555507,0.28701741401101916,0.3874465328107768,0.48687641299193024,0.5853169990647907,0.6789910515313842,0.7717330772936731,0.8635523503566801,0.9544580535254957,1.0444592728772528,5537.116815396552,8018.550077319882,10475.29392794221,12907.593956701121,18306.0115328698,23650.7167242686,28942.24386734344,34181.12200623431,39367.87498097021,44503.02153458485
1131,1131,16830036.0,24651.54412126208,4.056541022667603e-05,0.06317578741843888,0.16563360499296903,0.2670720010084331,0.3675011198081907,0.4669309999893442,0.5653715860622047,0.6590456385287982,0.751787664291087,0.843606937354094,0.9345126405229096,1.0245138598746666,6027.890146422967,8509.323408346298,10966.067258968624,13398.367287727537,18796.784863896217,24141.490055295017,29433.017198369856,34671.89533726073,39858.64831199663,44993.794865611264
1132,1132,16834476.0,24464.9118184286,4.0874866315550474e-05,0.102736101113094,0.20519391868762415,0.3066323147030882,0.40706143350284585,0.5064913136839994,0.6049318997568598,0.6986059522234533,0.7913479779857422,0.8831672510487492,0.9740729542175648,1.0640741735693218,5056.311857382588,7537.745119305918,9994.488969928245,12426.788998687158,17825.206574855838,23169.911766254638,28461.438909329478,33700.31704822035,38887.07002295625,44022.216576570885
1133,1133,16836294.0,24262.703485948547,4.121552244081695e-05,0.04232506895926638,0.14581255310139077,0.24827037067592092,0.349708766691385,0.45013788549114264,0.549567765672296,0.6480083517451566,0.7416824042117501,0.834424429974039,0.926243703037046,1.0171494062058615,6488.183735033573,8944.927585655902,11377.227614414813,16775.64519058349,22120.350381982294,27411.877525057134,32650.755663948003,37837.5086386839,42972.65519229854,47894.114952428274
1134,1134,16838696.0,24272.410023202192,4.1199040352568695e-05,0.040301708959375286,0.14378919310149968,0.24624701067602983,0.3476854066914939,0.4481145254912515,0.547544405672405,0.6459849917452655,0.739659044211859,0.8324010699741479,0.9242203430371548,1.0151260462059704,6537.289238742067,8994.033089364395,11426.333118123306,16824.750694291986,22169.455885690786,27460.983028765626,32699.861167656494,37886.6141423924,43021.76069600703,47943.22045613677
1135,1135,16842467.0,24939.15255693267,4.009759344136241e-05,0.0033931271315965125,0.10585094470612666,0.20728934072159072,0.30771845952134835,0.4071483397025018,0.5055889257753623,0.5992629782419558,0.6920050040042447,0.7838242770672517,0.8747299802360673,0.9647311995878243,7510.277104004665,9991.710365927995,12448.454216550323,14880.754245309234,20279.171821477914,25623.877012876714,30915.404155951557,36154.28229484242,41341.03526957833,46476.18182319296
1136,1136,16844333.0,25197.340303515084,3.968672835920297e-05,0.05280023473371538,0.15423863074917946,0.2546677495489371,0.35409762973009057,0.45253821580295106,0.5462122682695445,0.6389542940318333,0.7307735670948404,0.821679270263656,0.911680489615413,1.0007862283565048,6333.849596958972,8840.220459076247,11321.653720999577,13778.397571621905,16210.697600380816,21609.115176549494,26953.820367948298,32245.347511023137,37484.225649914006,42670.978624649906
1137,1137,16845834.0,25842.933047945775,3.869529817473597e-05,0.025439034048418862,0.1258681528481765,0.22529803302932996,0.3237386191021905,0.417412671568784,0.5101546973310728,0.6019739703940798,0.6928796735628954,0.7828808929146525,0.8719866316557443,0.9602057951931496,7089.230881278375,9620.789867135885,12127.16072925316,14608.59399117649,17065.337841798817,19497.63787055773,24896.05544672641,30240.76063812521,35532.28778120005,40771.16592009092
1138,1138,16846807.0,25871.374492176623,3.865275887457758e-05,0.020079057691500642,0.12050817649125829,0.21993805667241173,0.3183786427452723,0.4120526952118657,0.5047947209741546,0.5966139940371615,0.6875196972059772,0.7775209165577343,0.8666266552988261,0.9548458188362314,7227.830881285835,9759.389867143345,12265.76072926062,14747.19399118395,17203.937841806277,19636.23787056519,25034.65544673387,30379.36063813267,35670.88778120751,40909.765920098376
1139,1139,16847329.0,26747.351541203472,3.738687916295304e-05,0.05306636349849044,0.15150694957135094,0.24518100203794443,0.33792302780023326,0.4297423008632403,0.5206480040320559,0.6106492233838129,0.6997549621249047,0.7879741256623102,0.875315539992974,0.9617879342557583,6477.8703163925475,9060.567633068176,11617.567963522099,14149.12694937961,16655.497811496884,19136.931073420215,21593.67492404254,24025.974952801454,29424.392528970133,34769.09772036893
1140,1140,16848203.0,26346.520464495086,3.7955676209600926e-05,0.028521073313306358,0.1279509534944598,0.22639153956732033,0.32006559203391377,0.4128076177962027,0.5046268908592096,0.5955325940280253,0.6855338133797824,0.7746395521208741,0.8628587156582795,0.9502001299889433,7072.567690261863,9629.568020715786,12161.127006573297,14667.497868690572,17148.931130613902,19605.67498123623,22037.97500999514,27436.39258616382,32781.09777756262,38072.62492063746
1141,1141,16849544.0,26563.439238111758,3.7645727687447005e-05,0.08702429982548489,0.1854648858983454,0.27913893836493886,0.3718809641272277,0.46370023719023473,0.5546059403590503,0.6446071597108074,0.7337128984518992,0.8219320619893046,0.9092734763199685,0.9957458705827527,5572.674814644513,8155.372131320142,10712.372461774065,13243.931447631576,15750.302309748851,18231.735571672183,20688.47942229451,23120.779451053422,28519.1970272221,33863.902218620904
1142,1142,16850255.0,26672.56744262523,3.749170386956853e-05,0.0665699363520644,0.16501052242492492,0.25868457489151836,0.35142660065380726,0.44324587371681423,0.5341515768856299,0.624152796237387,0.7132585349784787,0.8014776985158841,0.8888191128465479,0.9752915071093322,6117.17481467382,8699.872131349448,11256.872461803372,13788.431447660883,16294.802309778157,18776.235571701487,21232.979422323817,23665.279451082726,29063.697027251405,34408.402218650204
1143,1143,16851239.0,27366.901690447048,3.65404900894963e-05,0.03826230859787938,0.13193636106447285,0.2246783868267617,0.3164976598897687,0.4074033630585843,0.49740458241034136,0.5865103211514332,0.6747294846888385,0.7620708990195024,0.8485432932822866,0.9341553167860008,6933.096937079511,9541.749490158354,12124.446806833983,14681.447137287905,17213.006123145416,19719.37698526269,22200.810247186022,24657.554097808348,27089.85412656726,32488.27170273594
1144,1144,16857821.0,27197.76023719212,3.676773349272085e-05,0.06872367689491664,0.16239772936151012,0.255139755123799,0.34695902818680596,0.4378647313556216,0.5278659507073786,0.6169716894484705,0.7051908529858758,0.7925322673165397,0.8790046615793239,0.9646166850830381,6102.035894014172,8710.688447093014,11293.385763768643,13850.386094222567,16381.945080080079,18888.315942197354,21369.749204120682,23826.493054743012,26258.79308350192,31657.2106596706
