,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
20,20,12765547.0,37.428091267947224,0.026717900008339,0.0065593601555781166,0.019854177873711427,0.019854177873711427,0.019854177873711427,248.5243936483879,494.5563944393339,738.1404590518376,979.3009415663636,1218.0619573021038,1454.447377514122,1688.4808423426864,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675
21,21,12766593.0,37.40938283521722,0.02673126163040036,0.006862133360958886,0.020156951079092197,0.020156951079092197,0.020156951079092197,248.52469642159326,494.5566972125393,738.140761825043,979.3012443395689,1218.0622600753093,1454.4476802873273,1688.4811451158919,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405,1.234509561644405
22,22,12807582.0,36.56248430863833,0.027350439088290775,0.008929716329044999,0.022358142484424262,0.03565296020255757,0.03565296020255757,0.03565296020255757,248.54019243071673,494.57219322166276,738.1562578341665,979.3167403486924,1218.0777560844328,1454.463176296451,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676,0.6613941806061676
23,23,12816507.0,36.39469148966316,0.02747653460076782,0.01201677657767902,0.02544520273305828,0.03874002045119159,0.03874002045119159,0.03874002045119159,248.54327949096538,494.5752802819114,738.1593448944151,979.319827408941,1218.0808431446815,1454.4662633566995,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931,0.5487783407142931
24,24,12845880.0,1.9968442634415975,0.5007901809410423,0.0004114399511730364,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.011637979885345023,0.06581738810631305,0.08758994122298293,0.10914586552237,0.1304873163598745,0.15161642721088442,0.17253531247311132,0.19324605814792944,0.2137507369508117,0.2340514055051017,0.25415008868663386
25,25,13021356.0,1.9982424738331985,0.5004397679935784,1.143995119892002e-05,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.011237979885370905,0.0666164655427174,0.08838901865938727,0.10994494295877436,0.13128639379627888,0.15241550464728879,0.17333438990951566,0.1940451355843338,0.21454981438721604,0.23485048294150604,0.2549491661230382
26,26,13035652.0,30.616270098958083,0.03266237189467542,741.2220907883716,2118.328156003815,2118.328156003815,2118.328156003815,2118.328156003815,2118.328156003815,2118.328156003815,2118.328156003815,2118.328156003815,2118.3417193812234,2118.355147807379,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216,61991.373897253216
27,27,13396143.0,30.659160749049796,0.032616678851230214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013563377408563804,0.026991803563943068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,16079497.0,7.094392479381452,0.1409563966056736,0.004812913427390754,0.012179112943381832,0.019472021448568286,0.026692368013430248,0.033840874162618634,0.0409182551361848,0.04792521834089035,0.054862464978203226,0.061730687737705806,0.06853057438451843,0.0752628042354525,0.12288435615390554,0.17426221957285085,0.22512889345800333,0.27548945862622265,0.3253489531644037,0.3747123650734782,0.4235846245868105,0.47197062070002715,0.5198751940444399,0.5673031294447092
29,29,16188948.0,6.702680494346572,0.14919404271820175,0.0037364490928937966,0.011326971533045233,0.01884197118032411,0.02628219824863959,0.03364839776463067,0.040941306269817124,0.04816165283467908,0.055310158983867465,0.06238753995743363,0.06939450316213919,0.07633174979945206,0.12743751487840824,0.17729700941658932,0.22666042132566377,0.2755326808389961,0.3239186769522127,0.3718232502966255,0.41925118569689473,0.46620722969801803,0.5126960794784574,0.5587223755035685
30,30,16549279.0,7.259446094755151,0.13775155665423097,0.003648397766246558,0.010941306271433011,0.018161652836294975,0.025310158985483357,0.03238753995904953,0.039394503163755076,0.046331749801067953,0.05319997256057053,0.05999985920738316,0.06673208905831722,0.07339733560318669,0.1322136988128212,0.18410789470914635,0.23548575812809164,0.2863524320132441,0.33671299718146347,0.38657249171964453,0.435935903628719,0.48480816314205133,0.5331941592552679,0.5810987325996807
31,31,16640605.0,7.257994423290549,0.13777910834307738,0.0037473977662409097,0.011040306271427363,0.018260652836289328,0.02540915898547771,0.032486539959043874,0.03949350316374943,0.04643074980106231,0.05329897256056488,0.06009885920737751,0.06683108905831157,0.07349633560318104,0.13149506048379708,0.18338925638012224,0.23476711979906753,0.28563379368422004,0.33599435885243933,0.3858538533906204,0.4352172652996949,0.4840895248130272,0.5324755209262438,0.5803800942706566
