,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
1741,1741,16164711.0,0.005396854973441733,185.2931021717396,4.9664383227096005,51.10983951670119,298.605646264443,543.6389498513673,786.2342519672771,1026.5286568170163,1264.4322098878713,1499.968702925928,1733.1616858290333,1964.034473800751,2192.6101530104506,0.7144746704255962,0.956676582689462,1.1964686645034113,1.4338748954148675,1.6689190113984154,1.9016245157605365,2.132014676098366,2.360112531926468,2.585940887835558,2.80952232512876
1742,1742,16165288.0,0.005355460831775369,186.7252943139337,22.967060723068293,69.1104619170599,316.6062686648017,561.639572251726,804.2348743676358,1044.529279217375,1282.43283228823,1517.969325326287,1751.162308229392,1982.0350962011096,2210.6107754108093,0.617697392863935,0.8598993051278008,1.09969138694175,1.3370976178532064,1.5721417338367543,1.8048472381988754,2.035237398536705,2.263335254364807,2.4891636102738968,2.712745047567099
1743,1743,16166420.0,0.005350643326100761,186.89341431560942,24.91351972033894,71.05692091433053,318.55272766207236,563.5860312489966,806.1813333649064,1046.4757382146456,1284.3792912855006,1519.9157843235575,1753.1087672266626,1983.9815551983802,2212.55723440808,0.607277357463057,0.8494792697269228,1.089271351540872,1.3266775824523285,1.5617216984358762,1.7944272027979973,2.024817363135827,2.252915218963929,2.478743574873019,2.702325012166221
1744,1744,16167199.0,0.0052989955647657,188.7150098122824,1.0614706894210775,47.66859746851155,93.81199866250314,341.30780541024495,586.3411089971693,828.9364111130791,1069.2308159628183,1307.1343690336732,1542.6708620717302,1775.8638449748353,2006.7366329465528,0.7283060726793289,0.9680981544932781,1.2055043854047345,1.4405485013882822,1.6732540057504035,1.9036441660882328,2.131742021916335,2.357570377825425,2.581151815118627,2.802508691542439
1745,1745,16170621.0,0.00527362259851464,189.622973832382,12.218770688820525,58.825897467911,104.96929866190258,352.46510540964437,597.4984089965687,840.0937111124786,1080.3881159622176,1318.2916690330726,1553.8281620711296,1787.0211449742346,2017.8939329459522,0.6693212826471612,0.9091133644611104,1.1465195953725666,1.3815637113561146,1.6142692157182357,1.8446593760560652,2.0727572318841676,2.2985855877932573,2.5221670250864596,2.743523901510271
1746,1746,16173687.0,0.005249420851320813,190.49720499136373,23.19683314258862,69.8039599216791,115.94736111567069,363.4431678634125,608.4764714503368,851.0717735662466,1091.3661784159858,1329.2697314868408,1564.8062245248977,1797.9992074280028,2028.8719953997204,0.6115569600832149,0.8513490418971642,1.0887552728086205,1.3237993887921684,1.5565048931542895,1.786895053492119,2.0149929093202212,2.240821265229311,2.4644027025225133,2.6857595789463247
1747,1747,16176421.0,0.005235790765389926,190.9931173358351,29.136833142268895,75.74395992135936,121.88736111535096,369.38316786309275,614.4164714500171,857.0117735659269,1097.3061784156662,1335.2097314865212,1570.7462245245779,1803.939207427683,2034.8119953994008,0.5804140781352253,0.8202061599491745,1.0576123908606307,1.2926565068441787,1.5253620112062998,1.7557521715441293,1.9838500273722315,2.209678383281321,2.4332598205745235,2.654616696998335
1748,1748,16183004.0,0.005195112482830474,192.48861373164453,0.6975973457500786,47.77310994072815,94.38023671981861,140.5236379138102,388.01944466155203,633.0527482484763,875.6480503643861,1115.9424552141254,1353.8460082849804,1589.382501323037,1822.5754842261422,0.7230053034416831,0.9604115343531394,1.1954556503366873,1.4281611546988084,1.6585513150366378,1.8866491708647402,2.11247752677383,2.3360589640670324,2.557415840490844,2.73946825836992
1749,1749,16184374.0,0.005195112482830474,192.48861373164453,0.6975973457500786,47.77310994072815,94.38023671981861,140.5236379138102,186.2079276807908,231.43767355295074,276.21739820205346,320.6644252996779,364.66921882191417,408.23617950536556,451.36966335219694,0.7230053034416831,0.9604115343531394,1.1954556503366873,1.4281611546988084,1.6585513150366378,1.8866491708647402,2.11247752677383,2.3360589640670324,2.557415840490844,2.73946825836992
1750,1750,16186792.0,0.00514856855945294,194.22874308704064,21.929293852157887,270.1159953043347,515.8333209761079,759.1058400594776,999.9578788466641,1238.4135178136012,1474.4966009276689,1708.3435812055372,1939.863859498257,2169.0805891871196,2396.0166882942935,0.6131963746656163,0.8506026055770726,1.0856467215606205,1.3183522259227416,1.5487423862605711,1.7768402420886733,2.002668597997763,2.2262500352909655,2.447606911714777,2.6296593295938533
1751,1751,16191974.0,0.00514856855945294,194.22874308704064,21.929293852157887,69.00480644713595,115.61193322622643,161.75533442021802,207.4396241871986,252.66937005935853,297.44909470846125,341.8961218060857,385.90091532832196,429.4678760117734,472.6013598586048,0.6131963746656163,0.8506026055770726,1.0856467215606205,1.3183522259227416,1.5487423862605711,1.7768402420886733,2.002668597997763,2.2262500352909655,2.447606911714777,2.6296593295938533
1752,1752,16192577.0,0.00514856855945294,194.22874308704064,21.929293852157887,272.0803694664906,519.7425244257294,764.9405223846948,1007.6988821758988,1248.0418748699544,1485.993533156978,1721.69049690148,1955.0423519223787,2186.0724347693463,2414.8038447709846,0.6131963746656163,0.8506026055770726,1.0856467215606205,1.3183522259227416,1.5487423862605711,1.7768402420886733,2.002668597997763,2.2262500352909655,2.447606911714777,2.6296593295938533
1753,1753,16193279.0,0.005142394291191696,194.46194581245547,24.8447820098992,274.9958576242319,522.6580125834706,767.856010542436,1010.6143703336401,1250.9573630276957,1488.9090213147194,1724.6059850592212,1957.95784008012,2188.9879229270873,2417.719332928726,0.5981942172702058,0.8356004481816622,1.07064456416521,1.3033500685273312,1.5337402288651607,1.7618380846932629,1.9876664406023528,2.211247877895555,2.4326047543193665,2.614657172198443
1754,1754,16193905.0,0.005142394291191696,194.46194581245547,24.8447820098992,71.92029460487727,118.52742138396773,164.67082257795934,210.3551123449399,255.58485821709985,300.36458286620257,344.81160996382704,388.8164034860633,432.3833641695147,475.51684801634605,0.5981942172702058,0.8356004481816622,1.07064456416521,1.3033500685273312,1.5337402288651607,1.7618380846932629,1.9876664406023528,2.211247877895555,2.4326047543193665,2.614657172198443
1755,1755,16200291.0,0.005078517617228325,196.907852915112,7.116641303082596,243.4715918221245,477.4748885273734,709.1499296490737,938.5198802959591,1165.6076765582507,1390.436022757823,1613.027400224017,1833.5169128728116,2051.812626028558,2267.9363705387236,0.6832035566378862,0.918247672621434,1.1509531769835553,1.3813433373213846,1.609441193149487,1.8352695490585766,2.058850986351779,2.2802078627755904,2.462260280654667,2.642501334955081
1756,1756,16203775.0,0.005046120505640269,198.1720410525782,22.3662197545924,258.7211702736343,492.72446697888324,724.3995081005835,953.7694587474689,1180.8572550097604,1405.6856012093326,1628.2769786755268,1848.7664913243214,2067.0622044800675,2283.1859489902336,0.6060024508405958,0.8410465668241435,1.0737520711862647,1.3041422315240943,1.5322400873521964,1.7580684432612863,1.9816498805544884,2.2030067569783003,2.3850591748573766,2.5653002291577907
1757,1757,16204318.0,0.005046625117690833,198.15222582999522,22.170049413683337,258.5249999327253,492.52829663797417,724.2033377596744,953.5732884065598,1180.6610846688513,1405.4894308684236,1628.0808083346178,1848.5703209834123,2066.8660341391587,2282.9897786493243,0.606992450840649,0.8420365668241968,1.074742071186318,1.3051322315241474,1.5332300873522497,1.7590584432613394,1.9826398805545418,2.2039967569783534,2.3860491748574297,2.5662902291578438
1758,1758,16205807.0,0.005059256831974036,197.6574886809644,16.170049414006293,252.5249999330482,486.52829663829715,718.2033377599973,947.5732884068827,1174.6610846691744,1399.4894308687467,1622.0808083349407,1842.5703209837352,2060.8660341394816,2276.989778649647,0.6373113848707005,0.8723555008542482,1.1050610052163694,1.335451165554199,1.5635490213823011,1.789377377291391,2.0129588145845934,2.2343156910084048,2.416368108887481,2.5966091631878956
1759,1759,16216265.0,0.00501042171562159,199.58399846507544,39.52304257491505,275.99779596963475,510.11970355145644,741.9121754106479,971.3983883978026,1198.601290228917,1423.5435967341627,1646.2478006381486,1866.8490171389128,2085.2553227293515,2301.4885593168224,0.5215385356227331,0.7571748658402487,0.9904666920995561,1.2214373406225385,1.4501099089738354,1.6765072592023247,1.9006520295067022,2.1225666339657647,2.3051712306739325,2.4859589697999436
1760,1760,16222715.0,0.00501042171562159,199.58399846507544,39.52304257491505,87.19145099036683,134.38557446191766,181.11013197849934,227.36979551276022,273.16919084856346,318.5128970263969,363.40544811329147,407.9641790628856,452.07956501981425,495.7560177805707,0.5215385356227331,0.7571748658402487,0.9904666920995561,1.2214373406225385,1.4501099089738354,1.6765072592023247,1.9006520295067022,2.1225666339657647,2.3051712306739325,2.4859589697999436
1761,1761,16228374.0,0.004976468118664461,200.94572619674915,7.7498041249237595,55.89726407158433,103.56567248703611,150.75979595858695,197.48435347516863,243.74401700942948,289.54341234523275,334.8871185230662,379.77966960996076,424.3384005595549,468.4537865164835,0.6754047283705583,0.9086965546298656,1.1396672031528483,1.368339771504145,1.5947371217326345,1.8188818920370118,2.0407964964960748,2.223401093204242,2.404188832330253,2.5831777942445355
1762,1762,16231521.0,0.004959577701547169,201.63007017473367,16.04174075942059,250.8589724380314,483.3398492079001,713.5076179202088,941.3852932868139,1166.9956607191364,1390.3612803639069,1611.5044843984047,1830.4473856624275,2047.324723243229,2262.0442013071643,0.6342065494039442,0.8674983756632516,1.098469024186234,1.327141592537531,1.5535389427660202,1.7776837130703977,1.9995983175294605,2.182202914237628,2.362990653363639,2.5419796152779215
1763,1763,16232245.0,0.004937310853196277,202.53940449235193,26.962096900925907,261.7793285795367,494.26020534940545,724.427974061714,952.3056494283193,1177.9160168606418,1401.2816365054123,1622.42484053991,1841.3677418039329,2058.2450793847343,2272.96455744867,0.5801633859752399,0.8134552122345472,1.0444258607575299,1.2730984291088265,1.4994957793373158,1.7236405496416933,1.945555154100756,2.1281597508089236,2.3089474899349347,2.487936451849217
1764,1764,16234673.0,0.004917602039113039,203.35114392061797,36.862096900393034,271.6793285790038,504.1602053488726,734.3279740611812,962.2056494277864,1187.816016860109,1411.1816365048794,1632.3248405393772,1851.2677418034,2068.1450793842014,2282.864557448137,0.5313790107356486,0.764670836994956,0.9956414855179385,1.2243140538692354,1.4507114040977247,1.6748561744021022,1.8967707788611647,2.0793753755693323,2.2601631146953434,2.439152076609626
1765,1765,16241391.0,0.004937804584281597,202.51915257709422,26.81717160413986,261.63440328275067,494.11528005261937,724.283048764928,952.1607241315331,1177.7710915638556,1401.1367112086261,1622.279915243124,1841.2228165071467,2058.1001540879483,2272.8196321518835,0.5808790107383128,0.8141708369976202,1.0451414855206027,1.2738140538718994,1.500211404100389,1.7243561744047662,1.946270778863829,2.1288753755719965,2.3096631146980076,2.4886520766122904
1766,1766,16242882.0,0.004932869494403873,202.7217628875965,29.224950604010257,264.04218228262107,496.52305905248977,726.6908277647984,954.5685031314035,1180.178870563726,1403.5444902084964,1624.6876942429944,1843.6305955070172,2060.507933087819,2275.227411151754,0.5689951960180208,0.8022870222773283,1.0332576708003107,1.2619302391516076,1.488327589380097,1.7124723596844744,1.9343869641435372,2.1169915608517047,2.297779299977716,2.476768261891998
1767,1767,16244107.0,0.004932869494403873,202.7217628875965,29.224950604010257,262.1754845653016,492.80823665162615,721.1462689115273,947.2124130996322,1171.029273492974,1392.619230894655,1612.0044399505862,1829.2068377128376,2044.360989227327,2257.3744263701924,0.5689951960180208,0.8022870222773283,1.0332576708003107,1.2619302391516076,1.488327589380097,1.7124723596844744,1.9343869641435372,2.1169915608517047,2.297779299977716,2.476768261891998
1768,1768,16250625.0,0.004893076619808315,204.3703946821039,0.39362516599810554,49.02495060294451,281.97548456423584,512.6082366505603,740.9462689104615,967.0124130985664,1190.8292734919082,1412.419230893589,1631.8044399495204,1849.0068377117718,2064.1609892262613,0.7050062849828286,0.9359769335058111,1.164649501857108,1.3910468520855972,1.6151916223899747,1.8371062268490375,2.019710823557205,2.200498562683216,2.3794875245974985,2.5566713415080353
1769,1769,16250625.0,0.004893076619808315,204.3703946821039,0.39362516599810554,49.02495060294451,281.97548456423584,512.6082366505603,740.9462689104615,967.0124130985664,1190.8292734919082,1412.419230893589,1631.8044399495204,1849.0068377117718,2064.1609892262613,0.7050062849828286,0.9359769335058111,1.164649501857108,1.3910468520855972,1.6151916223899747,1.8371062268490375,2.019710823557205,2.200498562683216,2.3794875245974985,2.5566713415080353
