,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,BAT-slippagemap_12,BAT-slippagemap_13,BAT-slippagemap_14,BAT-slippagemap_15,BAT-slippagemap_16,BAT-slippagemap_17,BAT-slippagemap_18,BAT-slippagemap_19,BAT-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
95,95,15299750.0,0.4409797076916898,2.2676780417731788,42905.74235592664,66205.8231434182,66774.29616466914,67057.25628365704,67620.63598890774,68180.64523195026,68459.3920230146,69014.38446521993,69566.0576514141,69840.6549124266,70387.38452997385,70930.84418209945,71201.35396388003,71739.94459383254,72275.31345078278,72541.79597846768,73072.36854749068,73599.76719656329,73862.28249514736,74384.95645009942,31982.29138923226,52172.88718292461,62222.88753656579,82232.5867166379,92316.09745135123,92439.29004197846,92684.56907796566,92928.38163424977,93049.74008451347,93291.36812077611,93531.55029671795,93651.10201128342,93889.1330629656,94125.73960874185,94243.51180346851,94477.9989070639,94711.08304017865,94827.10213135144,95058.09820158535,95287.71244115283
96,96,15300280.0,0.44461042536126716,2.249160035299335,34474.20667706277,35044.38657783794,35611.157183119714,35893.26959497831,36454.96158288492,37013.29292247727,37291.20622433612,37844.535439466905,38394.555811889266,38668.33110300665,39213.42342958287,39755.2548633427,40024.95445364837,40561.93132989861,41095.69687793034,41361.381175569055,41890.364672337695,42416.18339461002,42677.91251336405,43199.02055085185,35766.084416732425,56017.3672236567,66097.51297380074,86167.37204369516,106117.16040886518,106240.72324222735,106486.73932053518,106731.28416692419,106853.0074251259,107095.36077444328,107336.26507132336,107456.17608759408,107694.92210407568,107932.23947043008,108050.36539961798,108285.5570286566,108519.34161915186,108635.70883105478,108867.39892178109,109097.70320230676
97,97,15300793.0,0.4459016023388047,2.2426472449412294,23321.06026019575,23891.240160970916,24458.01076625269,24740.123178111287,25301.815166017896,25860.146505610242,26138.059807469097,26691.389022599884,27241.409395022238,27515.184686139622,28060.277012715847,28602.10844647568,28871.808036781353,29408.784913031584,29942.55046106332,30208.234758702034,30737.218255470674,31263.036977743,31524.766096497024,32045.874133984824,40732.182336707876,60983.46514363215,71063.61089377619,91133.4699636706,111083.25832884063,111206.8211622028,111452.83724051063,111697.38208689964,111819.10534510136,112061.45869441873,112302.36299129881,112422.27400756953,112661.02002405113,112898.33739040553,113016.46331959343,113251.65494863206,113485.43953912731,113601.80675103024,113833.49684175655,114063.80112228221
98,98,15301387.0,0.4459016023388047,2.2426472449412294,290.1899484508638,860.3698492260305,1427.1404545078044,1709.2528663664032,2270.9448542730092,2829.276193865358,3107.18949572421,3660.5187108549985,4210.539083277354,4484.314374394738,5029.406700970961,5571.238134730792,5840.937725036465,6377.9146012866995,6911.680149318436,7177.364446957148,7706.347943725789,8232.166665998113,8493.895784752138,9015.00382223994,506.84101669060357,758.8329350784468,884.2627801616111,1133.997196347193,1382.2375418847994,1505.8003752469724,1751.816453554808,1996.3612999438055,2118.084558145526,2360.437907462903,2601.3422043429828,2721.2532206136966,2959.9992370953023,3197.3166034497067,3315.4425326375963,3550.6341616762265,3784.4187521714816,3900.7859640744036,4132.476054800715,4362.780335326381
99,99,15301903.0,0.44657092314194136,2.2392859637261977,503.9873885951948,1072.4604098461427,1637.5329406926492,1918.8002340847427,2478.8094771272636,3035.469570050456,3312.548710396932,3864.221896591104,4412.594448720984,4685.548775150851,5229.008427276448,5769.217799362711,6038.10883900954,6573.477695959779,7105.644521283394,7370.532792667679,7897.931441740289,8422.175859078385,8683.120695276424,9202.66724833266,412.2816970696148,665.0306895363515,790.8376187333045,1041.3222019808397,1290.3080331908002,1414.242225539657,1660.9976495290605,1906.2766855162595,2028.3659835986632,2271.4476920640695,2513.0757283267194,2633.3468879978404,2872.8096188340287,3110.8406705162056,3229.3212871045644,3465.2194110191235,3699.7065146145064,3816.4234358263393,4048.809738902036,4279.805809135961
100,100,15303159.0,0.4381227775171545,2.282465215953867,560.2828158325955,1133.8946464659837,1704.0745472411504,1987.8850335350164,2552.957564381523,3114.649552288129,3394.234100816137,3950.8941937393297,4504.223408870118,4779.646520279977,5328.0190724098575,5873.1113989860805,6144.433050965322,6684.642423051585,7221.619299301819,7488.902319648652,8021.069144972268,8550.05264174091,8813.356065429163,9337.600482767257,385.9069047446517,636.391487992187,761.071166013398,1009.3115115510044,1256.0669355404077,1378.890423221013,1623.4352696100104,1866.516978075417,1987.5118771291077,2228.4161740091877,2467.878904845376,2587.073206761507,2824.3905731159116,3060.2886970304708,3177.7081313424314,3411.4927218376865,3643.879024913383,3759.55002446692,3989.854304992586,4218.780823148859
101,101,15305640.0,0.4487195086256232,2.228563681269143,556.2598443883222,1123.030449670096,1686.4101549207883,1966.8348494353008,2525.1661890276496,3080.1586312329778,3356.40870601729,3906.4290784396453,4453.158695986896,4725.296696133252,5267.1281298930835,5805.718759845586,6073.804596448991,6607.570144480727,7138.142713503725,7402.237938888081,7928.0566611604045,8450.730616112469,8710.893817402231,9228.884761542922,389.3716432045558,642.8795963837905,769.0645855746808,1020.301359854798,1270.03577604038,1394.3419292291296,1641.8389549401593,1887.855033247995,2010.3105815545887,2254.123137838713,2496.4764871560897,2617.1096243650486,2857.2918003068835,3096.037816788489,3214.874566554535,3451.481112330783,3686.6727413694134,3803.7404106528356,4036.824543767591,4268.514634493902
102,102,15307412.0,0.43112582722243364,2.3195084517264686,471.3481276147235,1050.1448170402232,1625.4798795701076,1911.8560090616793,2482.035909836846,3048.8065151186197,3330.9189269772187,3892.6109148838245,4450.942254476174,4728.8555563350255,5282.184771465813,5832.205143888169,6105.980435005553,6651.072761581776,7192.904195341607,7462.60378564728,7999.580661897515,8533.34620992925,8799.030507567963,9328.014004336605,422.9394718688757,671.179817406482,794.7426507686549,1040.7587290764907,1285.3035754654882,1407.0268336672086,1649.3801829845854,1890.2844798646652,2010.1954961353792,2248.9415126169847,2486.2588789713895,2604.384808159279,2839.5764371979094,3073.361027693164,3189.7282395960865,3421.4183303223977,3651.7226108480636,3766.357640570257,3994.598269395665,4221.473857195295
103,103,15308161.0,0.4462584484980979,2.2408539342292415,534.0722559974208,1102.5452772483686,1667.6178080948753,1948.8851014869688,2508.8943445294894,3065.554437452682,3342.633577799158,3894.3067639933297,4442.67931612321,4715.633642553077,5259.093294678674,5799.302666764937,6068.193706411766,6603.562563362005,7135.72938868562,7400.6176600699055,7928.016309142516,8452.26072648061,8713.20556267865,9232.752115734886,398.8506159753527,651.5996084420894,777.4065376390423,1027.8911208865777,1276.8769520965382,1400.811144445395,1647.5665684347985,1892.8456044219972,2014.9349025044012,2258.0166109698075,2499.644647232457,2619.9158069035784,2859.3785377397667,3097.4095894219436,3215.8902060103023,3451.7883299248615,3686.2754335202444,3802.9923547320773,4035.378657807774,4266.374728041698
104,104,15311052.0,0.43895596040909746,2.278132865693455,469.23363105874927,1042.8454616921374,1613.0253624673041,1896.8358487611702,2461.908379607677,3023.600367514283,3303.1849160422908,3859.8450089654834,4413.174224096272,4688.5973355061315,5236.969887636012,5782.062214212235,6053.383866191475,6593.593238277739,7130.570114527973,7397.8531348748065,7930.019960198421,8459.003456967062,8722.306880655316,9246.551297993412,425.8372316205821,676.3218148681174,801.0014928893285,1049.2418384269347,1295.9972624163381,1418.8207500969434,1663.3655964859408,1906.4473049513474,2027.442204005038,2268.346500885118,2507.8092317213063,2627.0035336374376,2864.320899991842,3100.219023906401,3217.638458218362,3451.423048713617,3683.8093517893135,3799.4803513428506,4029.7846318685165,4258.711150024789
105,105,15311799.0,0.4215764385754422,2.372049072237341,401.23563943645263,987.0203054800625,1569.3009237388846,1859.1336810001594,2436.196974552452,3009.8088051858404,3295.326171003925,3863.799192254873,4428.87172310138,4710.139016493473,5270.148259535994,5826.808352459187,6103.887492805662,6655.560678999834,7203.933231129714,7476.887557559581,8020.347209685178,8560.556581771441,8829.44762141827,9364.81647836851,449.8271876624619,695.1062236496608,817.1955217320647,1060.277230197471,1301.9052664601206,1422.1764261312417,1661.6391569674304,1899.6702086496068,2018.1508252379658,2254.048949152525,2488.536052747908,2605.2529739597408,2837.6392770354373,3068.635347269362,3183.6145571146403,3412.5410752709126,3640.098224958757,3753.3658034618716,3978.8841895641294,4203.054099171633
106,106,15313040.0,0.4297055277893096,2.3271750892865253,341.6582526166901,922.1947357164091,1499.2580292687019,1786.4937304105185,2358.387225720175,2926.8602469711227,3209.820365959031,3773.200071209723,4333.2093142522435,4611.956105316584,5166.948547521913,5718.621733716083,5993.21899472858,6539.948612275831,7083.408264401428,7353.918046182019,7892.50867613452,8427.877533084758,8694.360060769663,9224.93262979266,477.93757134594813,725.4345970569779,848.6271876842083,1093.9062236714071,1337.7187799555315,1459.0772302192174,1700.705266481867,1940.8874424237022,2060.439156989177,2298.4702086713532,2535.0767544476016,2652.848949174271,2887.336052769654,3120.4201858844094,3236.4392770571835,3467.4353472911084,3697.04958685858,3811.341075292659,4038.8982249805035,4265.094211419456
107,107,15314322.0,0.4380789696201925,2.282693462475462,566.7030805590192,1140.3149111924074,1710.4948119675742,1994.3052982614402,2559.3778291079466,3121.069817014553,3400.6543655425608,3957.3144584657534,4510.643673596542,4786.066785006401,5334.439337136281,5879.531663712504,6150.853315691746,6691.062687778009,7228.039564028243,7495.322584375076,8027.489409698692,8556.472906467334,8819.776330155586,9344.020747493681,383.09409290992875,633.5786761574641,758.2583541786752,1006.4986997162814,1253.2541237056848,1376.07761138629,1620.6224577752876,1863.704166240694,1984.6990652943848,2225.6033621744646,2465.0660930106533,2584.260394926784,2821.577761281189,3057.475885195748,3174.895319507709,3408.6799100029634,3641.06621307866,3756.737212632197,3987.041493157863,4215.968011314136
108,108,15314989.0,0.45291185463620354,2.207935141824095,399.5053007675904,964.577831614097,1526.269819520703,1805.8543680487112,2362.5144609719036,2915.8436761026924,3191.266787512551,3739.6393396424314,4284.731666218655,4556.053318197895,5096.262690284159,5633.239566534393,5900.522586881227,6432.689412204842,6961.672908973484,7224.976332661737,7749.220749999832,8270.328787487633,8529.712139254107,9046.151653644667,460.6723846813228,714.942101284815,841.5061045606615,1093.4980229485047,1343.98260619604,1468.662284217251,1716.9026297548573,1963.6580537442605,2086.481541424866,2331.0263878138635,2574.10809627927,2695.1029953329607,2936.0072922130407,3175.470023049229,3294.6643249653603,3531.9816913197646,3767.879815234324,3885.2992495462845,4119.08384004154,4351.470143117236
109,109,15316207.0,0.4586543586904139,2.1802910646162372,370.9374175833462,932.6294054899522,1490.960745082301,1768.874046941153,2322.2032620719415,2872.2236344942967,3145.9989256116805,3691.091252187904,4232.922685947735,4502.622276253408,5039.5991525036425,5573.364700535379,5839.048998174091,6368.032494942732,6893.851217215056,7155.580335969081,7676.688373456882,8194.679317597574,8452.511239613916,8965.861463600762,475.4482641383987,731.2482766957137,858.5740433958176,1112.0819965750522,1364.0739149628955,1489.5037600460598,1739.238176231642,1987.4785217692481,2111.041355131421,2357.057433439257,2601.6022798282543,2723.3255380299747,2965.6788873473515,3206.5831842274315,3326.4942004981453,3565.240216979751,3802.5575833341554,3920.683512522045,4155.875141560676,4389.65973205593
