,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
33,33,13239762.0,3054.2788611554947,0.00032740952789807803,3.644044486604253,8.381630560456948,13.072079316354873,17.715859610730305,22.31343582727858,26.865267603212793,31.371810237058444,35.833514211157244,40.25082569596749,44.62418637704148,48.95403358933642,32426.17058444465,46684.93845963085,60801.83603470437,74778.27528787637,88615.65364362803,102315.35437293183,115878.74783590998,129307.18994120696,129307.18994120696,129307.18994120696
34,34,13240719.0,3195.1730781086967,0.00031297209119949306,2.3861486380000567,7.029928932375488,11.627505148923767,16.179336924857974,20.68587955870363,25.14758353280243,29.564895017612677,33.93825569868667,38.268102910981604,42.55486957890891,46.798984268149425,36860.2917880779,51407.09127325088,65809.15486526933,80067.92274045553,94184.82031552904,108161.25956870105,121998.6379244527,135698.3386537565,149261.73211673467,162690.17422203164
35,35,13245956.0,3174.472836758603,0.0003150129333036228,3.890948637919063,8.534728932294495,13.132305148842773,17.684136924776983,22.190679558622634,26.652383532721437,31.069695017531682,35.443055698605676,39.77290291090061,44.059669578827915,48.30378426806843,32067.566775428455,46614.36626060143,61016.42985261988,75275.19772780608,89392.0953028796,103368.5345560516,117205.91291180326,130905.61364110706,144469.0071040852,157897.4492093822
36,36,13250298.0,3146.0321781652674,0.0003178607030596837,1.3388998819060416,6.029348637803967,10.673128932179399,15.270705148727677,19.822536924661886,24.32907955850754,28.79078353260634,33.20809501741659,37.58145569849058,41.911302910785516,46.19806957871282,39856.13714481657,54258.20073683502,68516.96861202121,82633.86618709473,96610.30544026673,110447.68379601839,124147.3845253222,137710.77798830034,151139.22009359734,151139.22009359734
37,37,13251174.0,3093.9322905808463,0.00032321327879229793,0.5613138078402061,5.2988998816929005,9.989348637590826,14.633128931966256,19.230705148514534,23.782536924448745,28.289079558294397,32.7507835323932,37.16809501720345,41.54145569827744,45.871302910572375,41903.06298773105,56161.830862917246,70278.72843799077,84255.16769116276,98092.54604691442,111792.24677621822,125355.64023919638,138784.08234449336,138784.08234449336,138784.08234449336
38,38,13254671.0,3098.2666123925446,0.00032276111939500893,0.22277760343299904,4.960363677285693,9.650812433183619,14.29459272755905,18.89216894410733,23.444000720041537,27.95054335388719,32.412247327985995,36.829558812796236,41.202919493870226,45.53276670616516,42951.261093461755,57210.02896864795,71326.92654372146,85303.36579689347,99140.74415264513,112840.44488194893,126403.83834492709,139832.28045022406,139832.28045022406,139832.28045022406
39,39,13255918.0,3119.0936500306098,0.0003206059555121682,3.3681387080279603,8.058587463925885,12.702367758301317,17.299943974849594,21.851775750783805,26.35831838462946,30.82002235872826,35.23733384353851,39.6106945246125,43.940541736907434,48.22730840483474,33499.19750170973,47901.26109372818,62160.02896891438,76276.9265439879,90253.36579715989,104090.74415291155,117790.44488221535,131353.8383451935,144782.2804504905,144782.2804504905
40,40,13259239.0,3179.8737600235477,0.0003144778929816996,3.5007466365063564,8.144526930881788,12.742103147430067,17.293934923364276,21.80047755720993,26.26218153130873,30.679493016118975,35.052853697192965,39.3827009094879,43.669467577415205,47.91358226665572,33307.39801730939,47854.19750248237,62256.26109450082,76515.02896968702,90631.92654476053,104608.36579793252,118445.7441536842,132145.444882988,145708.83834596616,159137.28045126313
41,41,13260173.0,3205.0929865780076,0.0003120034283522218,1.6402393059427713,6.284019600318203,10.881595816866481,15.43342759280069,19.939970226646345,24.401674200745145,28.81898568555539,33.19234636662938,37.522193578924316,41.80896024685162,46.05307493609214,39247.3980176291,53794.197502802075,68196.26109482053,82455.02897000672,96571.92654508025,110548.36579825224,124385.7441540039,138085.4448833077,151648.83834628586,165077.28045158283
42,42,13261221.0,3239.245955582417,0.00030871382220193274,3.8261247974986063,8.423701014046884,12.975532789981095,17.482075423826746,21.94377939792555,26.361090882735795,30.734451563809785,35.06429877610472,39.351065444032024,43.59518013327254,47.79706734868988,32474.408161567982,47167.398018055384,61714.19750322836,76116.26109524681,90375.028970433,104491.92654550653,118468.36579867853,132305.74415443017,146005.444883734,159568.83834671215
