,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
4410,4410,16639794.0,0.0005897977575659529,1695.4964429280271,11961.971198692434,76796.78616947976,140920.2114277222,204405.62925997475,267259.38876283605,329478.57253141154,385725.5417208468,405348.35126155854,421164.1833602783,434735.45864385844,448171.7041712353,107.28038239300486,145.33265008325674,183.00630995807325,219.54424123629965,256.00434823040956,292.1017039334411,327.46660600074074,363.10214943938405,397.92974169553815,432.0424838630893
4411,4411,16641694.0,0.0005913331501126927,1691.0940978185074,3579.068631692374,68413.8836024797,132537.30886072214,196022.72669297468,258876.48619583598,321095.66996441147,377342.6391538467,396965.44869455846,412781.28079327825,426352.55607685837,439788.80160423525,112.23111587535227,150.28338356560417,187.95704344042065,224.49497471864706,260.955081712757,297.0524374157886,332.41733948308814,368.05288292173145,402.88047517788556,436.99321734543673
4412,4412,16642260.0,0.0005931690352370938,1685.860084723224,58021.49653224538,122144.92179048782,185630.33962274037,248484.09912560164,310703.28289417713,366950.2520836124,386573.0616243242,402388.8937230439,415960.169006624,429396.41453400097,442698.796001667,80.42466016121485,118.3796297534209,156.43189744367277,194.10555731848928,230.64348859671568,267.1035955908256,303.20095129385714,338.56585336115677,374.2013967998001,409.0289890559542
4413,4413,16643186.0,0.0005842799090483608,1711.5084474301684,42665.39737422516,107559.90892561206,171742.4368032048,235286.36920278316,298198.0610729139,360474.6008003244,416778.3552755749,436457.3851075422,452328.87812375923,465955.2605170526,479446.06485640106,89.36055872767871,127.44712144901307,165.15473513039151,201.72628238620777,238.2196708897354,274.34997696198616,309.7475015536111,345.4153429329146,380.27491177582885,414.4193123736754
4414,4414,16643869.0,0.0005912149012202995,1691.4323335490124,3911.4784004915737,66842.29119361905,129080.65846666106,190699.77403345425,251705.80034406058,312095.63527176646,366531.45704261545,384361.13947447075,398401.6855005048,410215.3382227138,421911.4489591023,108.68671884385697,145.64515815720452,182.23587289539063,218.42275483021388,254.53530530905329,290.2885625711462,325.68608716277106,361.35392854207464,396.2134973849889,430.3578979828354
4415,4415,16644620.0,0.0006014712363562861,1662.5898955002435,12716.730379376068,74955.09765241809,136574.21321921126,197580.2395298176,257970.07445752347,312405.89622837247,330235.57866022777,344276.1246862618,356089.77740847087,367785.8881448593,379365.44858519227,104.1078166230592,140.9579652422183,177.91640455556586,214.50711929375197,250.69400122857522,286.8065517074146,322.5598089695075,357.95733356113243,393.62517494043595,428.4847437833502
4416,4416,16645782.0,0.000605030227404275,1652.809983213963,56589.864013096354,118208.97957988954,179215.00589049587,239604.84081820174,294040.6625890507,311870.345020906,325910.8910469401,337724.5437691491,349420.65450553753,361000.2149458705,372310.0738170789,78.25686016375606,115.14683020472907,151.99697882388818,188.95541813723574,225.54613287542185,261.7330148102451,297.8455652890845,333.5988225511774,368.9963471428023,404.66418852210586
4417,4417,16649049.0,0.000602012777049183,1661.0943124855014,9758.599426983887,71996.9667000259,133616.08226681908,194622.10857742542,255011.9435051313,309447.7652759803,327277.4477078356,341317.99373386963,353131.6464560787,364827.7571924671,376407.3176328001,105.88796187869238,142.7381104978515,179.69654981119905,216.28726454938516,252.4741464842084,288.5866969630478,324.33995422514073,359.7374788167656,395.40532019606917,430.2648890389834
4418,4418,16649811.0,0.0005953081849675924,1679.8022020383248,45033.148743491656,107271.51601653367,168890.63158332685,229896.65789393318,290286.49282163905,344722.31459248805,362551.99702434335,376592.5430503774,388406.19577258645,400102.30650897487,411681.86694930785,84.76919656248883,121.61934518164796,158.5777844949955,195.1684992331816,231.35538116800487,267.46793164684425,303.22118890893717,338.618713500562,374.2865548798656,409.14612372277986
4419,4419,16650595.0,0.0005918655628774073,1689.5728738438686,390.9590351391249,63321.771828266596,125560.13910130861,187179.25466810178,248185.28097870812,308575.115906414,363010.937677263,380840.6201091183,394881.16613515234,406694.8188573614,418390.9295937498,110.76939323814122,147.72783255148877,184.31854728967485,220.50542922449813,256.61797970333754,292.37123696543046,327.7687615570553,363.4366029363589,398.29617177927315,432.4405723771197
4420,4420,16651266.0,0.0005876784087210944,1701.6109238659963,23047.297614378986,85978.11040750645,148216.47768054847,209835.59324734166,270841.61955794797,331231.45448565384,385667.27625650284,403496.95868835814,417537.50471439224,429351.15743660124,441047.26817298966,97.40671687978251,134.36515619313005,170.95587093131616,207.14275286613943,243.2553033449788,279.00856060707173,314.4060851986966,350.07392657800017,384.9334954209144,419.07789601876095
4421,4421,16653484.0,0.0005919247494336951,1689.4039334505235,236.50655347663812,63167.31934660411,125405.68661964613,187024.8021864393,248030.82849704564,308420.66342475155,362856.4851956005,380686.1676274558,394726.7136534899,406540.3663756989,418236.4771120873,119.40270739247605,159.15197297817696,198.50574616560436,237.42819504605816,276.2490944586846,314.68375346319226,352.7360007678099,391.0321512196656,425.89172006257985,460.0361206604264
4422,4422,16657226.0,0.0005918655628774073,1689.5728738438686,449.8397264634216,63380.65251959089,125619.01979263291,187238.1353594261,248244.16167003242,308633.9965977383,363069.8183685873,380899.5008004426,394940.04682647664,406753.6995486857,418449.8102850741,119.2764302989031,159.025695884604,198.3794690720314,237.3019179524852,276.12281736511164,314.5574763696193,352.60972367423693,390.9058741260926,425.76544296900687,459.9098435668534
