,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,YFI-slippagemap_12,YFI-slippagemap_13,YFI-slippagemap_14,YFI-slippagemap_15,YFI-slippagemap_16,YFI-slippagemap_17,YFI-slippagemap_18,YFI-slippagemap_19,YFI-slippagemap_20,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20
20,20,12481576.0,1.1620604665487602,0.8605404183225778,0.06783740566915754,0.14288778817558598,0.21748924130003153,0.2546224582727002,0.3285555429150977,0.4020463766919182,0.4386267802685171,0.5114591975379991,0.5838559493762708,0.6198917702718942,0.691639905818773,0.7629588651080689,0.7984582092223547,0.8691382106329371,0.9393954211826994,0.974366270841854,1.0439940353021506,1.113205305019796,1.1476555359900928,1.2162467276969384,0.14015372751223598,0.22700130744581454,0.27023008628183276,0.35629957531115475,0.4418542215530321,0.48443944013305756,0.5692275920437566,0.6535085561808672,0.6954597986809122,0.7789856786616551,0.8620119255618586,0.9033386262991868,0.9856210264595828,1.067411237377042,1.1081226917834486,1.1891801300405653,1.2697527035562737,1.309858073238588,1.3897087833184663,1.4690818470829063
21,21,12482253.0,1.0750837692564812,0.9301600755182003,0.06917926259487393,0.14721428165807593,0.22478251842800603,0.2633924621095322,0.34026575225935074,0.41667920450820656,0.4547143526351836,0.5304432036527388,0.6057190644449914,0.6431879687431276,0.7177894218675731,0.7919446286659776,0.8288557234826393,0.9023465572594597,0.9753977887848269,1.0117593781055405,1.0841561299438125,1.1561198260803445,1.1919400863863145,1.2632590456756105,0.1362508393034372,0.2197767192841801,0.2613521102325265,0.3441296669217118,0.4264120670821078,0.4673685113662625,0.5489137324059736,0.6299711706630903,0.6703178835349894,0.750649113861113,0.8304998239409912,0.8702458824981066,0.9493811954709551,1.028043142503085,1.0671974887188622,1.1451546894390547,1.222645570537947,1.222645570537947,1.222645570537947,1.222645570537947
22,22,12482783.0,1.06577157285403,0.938287364263338,0.047489846652380444,0.12599446546640422,0.20402948452960623,0.24287177609379,0.3202076649810625,0.39708095513088104,0.43534499033820656,0.5115295555067139,0.587258406524269,0.6249527891082294,0.7000031716146577,0.7746046247391034,0.8117378417117721,0.8856709263541696,0.95916176013099,0.995742163707589,1.0685745809770708,1.1409713328153428,1.177007153710966,1.2487552892578448,0.15895777029194874,0.24198401719215223,0.2833107179294804,0.3655931180898765,0.44738332900733563,0.4880947834137423,0.569152221670859,0.6497247951865672,0.6898301648688816,0.7696808749487599,0.8490539387131999,0.8885622464787238,0.9672241935108535,1.0454156051208978,1.0843357404468232,1.1618266215457158,1.1618266215457158,1.1618266215457158,1.1618266215457158,1.1618266215457158
23,23,12484838.0,1.0663045652282723,0.9378183612914778,0.044084910485416455,0.12258952929944023,0.20062454836264224,0.239466839926826,0.31680272881409854,0.3936760189639171,0.4319400541712426,0.50812461933975,0.5838534703573051,0.6215478529412654,0.6965982354476938,0.7711996885721394,0.8083329055448081,0.8822659901872055,0.955756823964026,0.9923372275406249,1.065169644810107,1.1375663966483787,1.1736022175440022,1.245350353090881,0.16258786731402736,0.24561411421423085,0.28694081495155904,0.3692232151119551,0.45101342602941424,0.49172488043582097,0.5727823186929376,0.6533548922086458,0.6934602618909602,0.7733109719708385,0.8526840357352785,0.8921923435008025,0.9708542905329322,1.0490457021429764,1.0879658374689019,1.1654567185677944,1.1654567185677944,1.1654567185677944,1.1654567185677944,1.1654567185677944
24,24,12485372.0,1.0455049540652357,0.9564756208105004,0.055851222693169084,0.13506553661917411,0.21380600379872786,0.2529994386852286,0.3310344577484306,0.4086026945183607,0.4472126381998869,0.5240859283497055,0.6004993805985612,0.6385345287255383,0.7142633797430934,0.789539240535346,0.8270081448334822,0.9016095979579277,0.9757648047563323,1.0126758995729939,1.0861667333498144,1.1592179648751815,1.1955795541958953,1.2679763060341671,0.1492350001019819,0.23151740026237794,0.27247384454653256,0.35401906558624374,0.43507650384336044,0.4754232167152595,0.5557544470413831,0.6356051571212613,0.6753512156783767,0.7544865286512252,0.8331484756833549,0.8723028218991323,0.9502600226193247,1.0277509037182173,1.0277509037182173,1.0277509037182173,1.0277509037182173,1.0277509037182173,1.0277509037182173,1.0277509037182173
25,25,12486121.0,1.0091432950868002,0.9909395473058028,0.053209020612698554,0.13386202440482378,0.21403258176963588,0.25393784670900726,0.3333901481842487,0.412367180114607,0.45167836404213,0.5299478317435313,0.6077491095560165,0.6464750547617628,0.7235792933831278,0.8002223238004331,0.8383717408419634,0.9143281081132911,0.9898301225704559,1.0274116007787482,1.1022371832239224,1.1766151751739986,1.2136371649997344,1.2873487928984082,0.15026202932853652,0.23107667127995057,0.2713025319237598,0.35139314158542484,0.43100467024306777,0.4706316754503924,0.5495299506211638,0.6279562764638235,0.6669933418580902,0.7447170327303871,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083,0.7834043582829083
26,26,12487262.0,1.0236769857695236,0.9768706475786159,0.07749261293327254,0.15742303263137464,0.23687533410661607,0.27642308278494365,0.3551635499644974,0.43343301766589876,0.4723920039142001,0.5499602406841302,0.6270644793054951,0.6654434745154749,0.7418569267643308,0.8178132940356585,0.855620925908863,0.9308967867011155,1.0057223691462898,1.0429671441236972,1.1171223509221018,1.1908339788207756,1.2275242795155838,1.300575511040951,0.12622621476374446,0.2077714358034556,0.2483609449810573,0.32917558693247134,0.40950681725859495,0.4494920572379456,0.5291035858955886,0.6082388988684371,0.6476288662736847,0.7260551921163443,0.8040123928365366,0.842815948382908,0.881503273935429,0.881503273935429,0.881503273935429,0.881503273935429,0.881503273935429,0.881503273935429,0.881503273935429,0.881503273935429
27,27,12487959.0,1.0288079308291123,0.9719987278812129,0.04409523726676047,0.12402565696486256,0.203477958440104,0.24302570711843155,0.3217661742979853,0.4000356419993867,0.43899462824768803,0.5165628650176182,0.5936671036389831,0.6320460988489629,0.7084595510978187,0.7844159183691465,0.8222235502423508,0.8974994110346034,0.9723249934797776,1.0095697684571852,1.0837249752555898,1.1574366031542636,1.1941269038490718,1.267178135374439,0.16050068312070934,0.24204590416042052,0.28263541333802217,0.36345005528943625,0.44378128561555985,0.4837665255949105,0.5633780542525535,0.642513367225402,0.6819033346306496,0.7603296604733091,0.8382868611935015,0.8770904167398729,0.915777742292394,0.915777742292394,0.915777742292394,0.915777742292394,0.915777742292394,0.915777742292394,0.915777742292394,0.915777742292394
28,28,12488668.0,0.9758986141697773,1.0246966083159432,0.07815926607758422,0.16003112390299923,0.2414132454825499,0.2819215726039887,0.3625745763961139,0.44274513376092606,0.4826503987002974,0.5621027001755389,0.6410797321058971,0.6803909160334202,0.7586603837348215,0.8364616615473066,0.875187606753053,0.9522918453744179,1.0289348757917232,1.0670842928332536,1.1430406601045813,1.218542674561746,1.2561241527700382,1.3309497352152124,0.1244191831145318,0.20403071177217474,0.24365771697949937,0.3225559921502708,0.4009823179929304,0.4400193833871972,0.5177430742594942,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153,0.5564303998120153
29,29,12489585.0,0.9829500864635066,1.0173456554623606,0.06920353471829085,0.15083015783900094,0.23196851154006828,0.2723554970325466,0.3527669179382749,0.432697337636377,0.47248307386394095,0.551697387789946,0.6304378549694998,0.6696312898560005,0.7476663089192025,0.8252345456891326,0.8638444893706588,0.9407177795204773,1.017131231769333,1.0551663798963102,1.1308952309138653,1.206171091706118,1.2436399960042541,1.3182414491286996,0.13336115431248155,0.2132118643923598,0.25295792294947517,0.33209323592232376,0.41075518295445346,0.44990952917023086,0.5278667298904233,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157,0.6053576109893157
