,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20
25,25,16049844.0,277.3323317193122,0.00360578225337282,0.0010172634254904064,0.0022993012705022596,0.0035736703239732603,0.004207993396554311,0.005470945135230881,0.006726342218935794,0.007351221919380915,0.007974269654019976,0.0079743488768822,0.007974388310425943,0.007974466823514883,0.007974544866959908,0.007974583713443112,0.00797466105768376,0.007974737939270381,0.007974776207434644,0.007974852400224839,0.007974928137250844,0.007974965835704567,0.007975040894188339,0.609871303705307,0.9634717886297799,1.1394780586427984,1.4899105696185788,1.8382468881012786,2.011632894995706,2.3568484178778615,2.6999989318157525,2.8708036902220244,3.210879872678877,3.5489218052755485,3.717183732099597,4.052197082681176,4.385206482840232,4.550963436855053,4.880989340029825,5.209041121657389,5.372330402459492,5.697443106083287,6.020611061334017
26,26,16052522.0,276.5016229450626,0.003616615299935102,0.0006983549507335012,0.0019842444953331643,0.0032624421921273765,0.0038986709861270883,0.005165417073886854,0.006424585841277263,0.007051342881089622,0.008299230526145555,0.008299309987018133,0.008299349539036027,0.00829942828800507,0.008299506565920064,0.008299545529113736,0.008299623105721923,0.008299700218289567,0.00829973860142421,0.008299815023125911,0.008299890987691247,0.008299928799404672,0.008300004083392149,0.696936731231539,1.0494780586379544,1.2249571244676107,1.5743399666641882,1.9216328949908619,2.0944995590688285,2.4386810303273343,2.7808036902171804,2.951096826889476,3.2901543565117377,3.627183732094753,3.794941659091314,4.12895153097809,4.460963436850209,4.626223899860223,4.955261256672112,5.282330402454648,5.445130573872195,5.769269452484641,6.091469411498699
27,27,16055630.0,271.8954263686359,0.0036778845946610354,0.0012182772869940774,0.0025119049506358896,0.003797794495235553,0.004437851932558476,0.0057122209860294764,0.006978967073789243,0.007609495797287097,0.00886489288099201,0.010112780526047943,0.010112820316076193,0.010112899538938416,0.01011297828790746,0.0101130174855711,0.010113095529016125,0.010113173105624311,0.010113211719739976,0.010113288601326598,0.010113365023028299,0.010113403062281055,0.01011347879930706,0.5522036299005014,0.9026361408762819,1.077065537926735,1.424358466253409,1.7695739891355644,1.9414066015898812,2.2835292614797273,2.62360544393658,2.792879927774285,3.1299093033572998,3.464922653938879,3.6316771022406367,3.9636890081127563,4.293714911287529,4.4579868279346595,4.785055973717195,5.110168677340989,5.271995023747188,5.5941949827612465,5.914467627447936
28,28,16057214.0,271.86823954468144,0.003678252383120502,0.0012329372869932882,0.0025265649506351004,0.0038124544952347636,0.004452511932557687,0.005726880986028688,0.006993627073788454,0.007624155797286309,0.008879552880991222,0.010127440526047155,0.010127480316075403,0.010127559538937627,0.01012763828790667,0.01012767748557031,0.010127755529015335,0.010127833105623521,0.010127871719739188,0.01012794860132581,0.01012802502302751,0.010128063062280266,0.01012813879930627,0.54821765486728,0.8986501658430605,1.0730795628935137,1.4203724912201876,1.765588014102343,1.9374206265566598,2.279543286446506,2.6196194689033585,2.7888939527410637,3.1259233283240784,3.4609366789056577,3.6276911272074153,3.959703033079535,4.289728936254307,4.454000852901438,4.781069998683973,5.106182702307768,5.268009048713966,5.590209007728025,5.910481652414715
29,29,16059326.0,270.72884431222104,0.0036937327551501637,0.0010364964931490988,0.0023340107016149173,0.0036237635046669566,0.004265743912355886,0.0055439416091500986,0.0068144934757308605,0.0074469164909095765,0.008706085258299986,0.009957721998557465,0.010580729943168277,0.010580809404040855,0.010580888389602493,0.010580927705027793,0.010581005982942785,0.010581083792619662,0.010581122522744645,0.010581199635312288,0.010581276286611194,0.010581314440148632,0.01058139040471397,0.6007143882466994,0.9500972304432768,1.124004151875523,1.4702568228479174,1.8144382941064228,1.985756195589997,2.3268540906685646,2.6659116202908266,2.834679069049793,3.170698922870403,3.5047087947571782,3.670963746614476,4.001981163639312,4.331018520451201,4.494798385431634,4.820887837651283,5.14502671626373,5.306368325108262,5.627603180265988,5.946916496106658
30,30,16062730.0,269.35171073716293,0.003712617964308434,0.0009402498559357405,0.0022416622552574343,0.0035352899188992462,0.00417919905580998,0.0054612369008218324,0.0067356059542928335,0.007369929026873884,0.008632880765550454,0.009888277849255367,0.010513157549700489,0.01113620528433955,0.011136284507201773,0.011136323940745516,0.011136402453834454,0.01113648049727948,0.011136519343762686,0.011136596688003333,0.011136673569589955,0.011136711837754217,0.01113678803054441,0.62566783338475,0.9740041518674496,1.147390158761877,1.4926056816440325,1.8357561955819235,2.0065609539881955,2.346637136445048,2.6846790690417195,2.852940995865768,3.187954346447347,3.5209637466064025,3.6867207006212244,4.016746603795997,4.344798385423561,4.508087666225663,4.8332003698494574,5.156368325100188,5.317226675269715,5.6374993199564045,5.955856176813703
31,31,16070730.0,268.813572539718,0.0037200502584453657,0.0011570098559240737,0.0024584222552457673,0.0037520499188875797,0.004395959055798313,0.005677996900810166,0.0069523659542811665,0.007586689026862217,0.008849640765538788,0.0101050378492437,0.01072991754968882,0.011352965284327882,0.011353044507190106,0.01135308394073385,0.011353162453822788,0.011353240497267814,0.01135327934375102,0.011353356687991667,0.011353433569578289,0.011353471837742551,0.011353548030532745,0.5673366566276437,0.9156729751103433,1.089058982004771,1.4342745048869263,1.7774250188248173,1.9482297772310895,2.288305959687942,2.626347892284613,2.7946098191086617,3.1296231696902406,3.4626325698492963,3.6283895238641177,3.9584154270388905,4.286467208666454,4.449756489468557,4.774869193092352,5.0980371483430815,5.258895498512609,5.579168143199298,5.897525000056596
32,32,16071590.0,267.0453329803904,0.0037446825557270894,0.0012254797685844268,0.002530802044241589,0.003828316252707407,0.004474159918848713,0.005760049463448377,0.007038247160242588,0.0076744759542423,0.008941222042002067,0.010200390809392475,0.010827147849204834,0.012075035494260767,0.012075114955133345,0.012075154507151239,0.012075233256120282,0.012075311534035276,0.012075350497228948,0.012075428073837135,0.012075505186404779,0.012075543569539422,0.012075619991241123,0.5482741148691892,0.895567043195863,1.0684337072738297,1.4126151785323353,1.7547378384221817,1.9250309750944772,2.264088504716739,2.601117880299754,2.7688758072963155,3.1028856791830908,3.43489758505521,3.6001580480652238,3.929195404877113,4.256264550659649,4.419064722077196,4.743203600689642,5.065403559703701,5.2257800646919,5.54509338053257,5.862496647822305
33,33,16075112.0,265.2887247948421,0.003769477955662602,0.001305365901350973,0.0026146098558456204,0.003916022255167314,0.004563806252667821,0.00585355905571986,0.007135596900731713,0.007773737160203002,0.009044289026783765,0.010307240765460335,0.010935880809352889,0.012187517549610368,0.012810565284249429,0.012810604955093757,0.012810683940655397,0.012810762453744335,0.01281080153399569,0.012810879343672567,0.012810956687913214,0.012810995186365193,0.012811071837664098,0.5264085439304532,0.8726612149028474,1.0450100737070362,1.3881605876449272,1.7292584827234947,1.8990415285080517,2.237083461104723,2.573103314925333,2.7403587385103507,3.073368138669406,3.4043855556942417,3.569150995859,3.897202777486564,4.223292229706213,4.385604761912461,4.708772717163192,5.030007572320918,5.189903712019408,5.508260568876707,5.824713091247157
34,34,16082395.0,265.10309694605,0.0037721173819538806,0.000722692376275398,0.0020358697685408087,0.003341192044197971,0.003990922255163283,0.005284549918805095,0.006570439463404758,0.007210496900727682,0.008484865954198681,0.009751612041958449,0.010382140765456304,0.011637537849161215,0.012885425494217149,0.012885465284245399,0.012885544507107622,0.012885623256076666,0.012885662453740305,0.012885740497185329,0.012885818073793517,0.012885856687909182,0.012885933569495803,0.6799310474527883,1.0251465703349438,1.1969791827892604,1.5391018426791068,1.8791780251359593,2.0484525089736643,2.385481884556679,2.7204952351382583,2.887249683440016,3.2192615893121355,3.549287492486908,3.7135594091340383,4.040628554916574,4.3657412585403685,4.527567604946567,4.849767563960626,5.170040208647316,5.329457384789495,5.646860652079231,5.962365297508599
