,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
947,947,16014146.0,0.5501468029085277,1.817696648809334,0.04219825263105977,0.08973169715516298,0.13679219916573407,0.1833844652348018,0.22951315337798667,158.28865481102977,314.77516004109793,469.7046768244068,623.4428048890944,775.651289971786,926.3861701859977,0.05563167611060329,0.0814598021363422,0.10703094673081268,0.13234766703484846,0.15741249412092773,0.1822279344957759,0.20679646940752727,0.2311205554947307,0.255202625005684,0.2790450855555559
948,948,16016087.0,0.5583491128651231,1.7909941593147363,0.0064750111957545715,0.054008455719857774,0.10106895773042887,0.14766122379949662,0.19378991194268147,158.25293156959447,314.73943679966266,469.6689535829715,623.4070816476591,775.6155667303507,926.3504469445625,0.07543167611166887,0.10125980213740779,0.12683094673187825,0.15214766703591404,0.17721249412199333,0.2020279344968415,0.22659646940859285,0.2509205554957963,0.27500262500674966,0.29884508555662154
949,949,16020853.0,0.5732850698648162,1.7443328852708575,0.038390138728280614,0.08498240479734835,0.1311110929405332,158.19025275059232,314.6767579806605,469.60627476396934,623.3444028286569,775.5528879113485,926.2877681255603,1075.5228866659575,1223.2731653529156,0.058458632234043094,0.08480849477064839,0.11089618483975906,0.136724310865498,0.16229545545996846,0.1876121757640042,0.2126770028500835,0.23749244322493168,0.26206097813668305,0.2863850642238865
950,950,16024385.0,0.5739159988430669,1.7424152698580593,0.03580140536148623,0.08239367143055398,0.12852235957373884,158.18766401722553,314.6741692472937,469.60368603060255,623.3418140952901,775.5502991779817,926.2851793921935,1075.5202979325907,1223.2705766195488,0.059943632234123016,0.0862934947707283,0.11238118483983899,0.1382093108655779,0.16378045546004838,0.18909717576408414,0.21416200285016343,0.2389774432250116,0.26354597813676295,0.2878700642239664
951,951,16039228.0,0.5680920992236529,1.7602779573357676,0.012917073416893353,0.05997757542746445,0.10656984149653219,0.15269852963971703,158.2118401872915,314.6983454173597,469.6278622006685,623.3659902653561,775.5744753480477,926.3093555622595,1075.5444741026567,0.07248821012952308,0.09857590019863376,0.12440402622437267,0.14997517081884315,0.17529189112287893,0.2003567182089582,0.22517215858380638,0.24974069349555775,0.2740647795827612,0.2981468490937145
952,952,16041065.0,0.5556755923792341,1.799611164705478,0.01812092888995134,0.06565437341405454,0.11271487542462565,0.15930714149369338,0.20543582963687823,158.26457748728868,314.75108271735684,469.68059950066566,623.4187275653533,775.627212648045,926.3620928622566,0.06894438927516829,0.0947725153009072,0.12034365989537767,0.14566038019941344,0.17072520728549273,0.1955406476603409,0.22010918257209225,0.2444332686592957,0.26851533817024903,0.2923577987201209
953,953,16052812.0,0.5535127859212884,1.806642999828018,0.027440905610449654,0.07497435013455286,0.12203485214512395,0.1686271182141917,0.21475580635737654,158.27389746400917,314.76040269407736,469.6899194773862,623.4280475420738,775.6365326247654,926.3714128389771,0.06377540728074846,0.08960353330648738,0.11517467790095785,0.14049139820499362,0.1655562252910729,0.1903716656659211,0.21494020057767244,0.2392642866648759,0.26334635617582924,0.2871888167257011
954,954,16057778.0,0.5384993162791452,1.8570125713616021,0.045901361508487594,0.09391250113748661,0.1414459456615898,0.1885064476721609,0.23509871374122865,0.28122740188441353,158.34036905953621,314.8268742896044,469.75639107291323,623.4945191376008,775.7030042202924,0.0533111007445258,0.07888224533899628,0.10419896564303205,0.12926379272911132,0.15407923310395952,0.17864776801571086,0.20297185410291432,0.22705392361386764,0.25089638416373955,0.27450162044388504
955,955,16067588.0,0.538984159568791,1.8553420953967186,0.04369637045869902,0.09170751008769804,0.13924095461180125,0.18630145662237232,0.23289372269144007,0.2790224108346249,158.3381640684864,314.8246692985546,469.75418608186345,623.492314146551,775.7007992292426,0.05449910074458974,0.08007024533906021,0.10538696564309599,0.13045179272917526,0.15526723310402346,0.1798357680157748,0.20415985410297824,0.22824192361393159,0.25208438416380347,0.27568962044394896
956,956,16069751.0,0.5511379093274595,1.8144279010316604,0.03769567194595464,0.08522911647005785,0.13228961848062895,0.1788818845496967,0.22501057269288152,158.2841522303447,314.77065746041285,469.7001742437217,623.4383023084093,775.6467873911009,926.3816676053126,0.058111099720435225,0.08393922574617414,0.10951037034064462,0.1348270906446804,0.15989191773075967,0.18470735810560784,0.2092758930173592,0.23359997910456265,0.25768204861551597,0.28152450916538785
