,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
207,207,16732911.0,940.733901250282,0.0010629998543381402,0.02407624567338041,0.1141180727113214,0.20326401355773296,0.2915229821072077,0.3789038014826626,0.3849901970380856,0.39101603513352845,0.396981917856658,0.4028884422507801,0.40873619858154947,0.4145257716342049,230.24688811781255,312.89405742817644,394.71891499667055,475.7296415700623,555.9343384568411,764.5854817252407,971.1606140361538,1175.6803922242918,1378.1652661666856,1578.6354807200655
208,208,16736492.0,931.3739081908433,0.001073682643679014,0.06977273311341851,0.15981456015135953,0.2489605009977711,0.3372194695472458,0.42460028892270074,0.43068668447812375,0.4367125225735665,0.4426784052966961,0.4485849296908182,0.4544326860215876,0.460222259074243,187.47038582098344,270.11755513134733,351.94241269984144,432.95313927323326,513.157836160012,721.8089794284116,928.3841117393247,1132.9038899274628,1335.3887638698563,1535.8589784232365
209,209,16738029.0,915.4005065283401,0.0010924180103335356,0.058026016048462255,0.14897273310915593,0.23901456014709693,0.32816050099350846,0.4164194695429832,0.5038002889184381,0.5098866844738611,0.515912522569304,0.5218784052924336,0.5277849296865557,0.533632686017325,196.9850331520817,278.8098907205758,359.8206172939676,440.0253141807465,648.6764574491459,855.2515897600591,1059.7713679481972,1262.2562418905907,1462.7264564439708,1661.202059444511
210,210,16738544.0,874.9475497426771,0.0011429256534224263,0.08339996453750675,0.17618383438250107,0.26804453539175777,0.35899125245245145,0.44903307949039245,0.538179020336804,0.6264379888862787,0.7138188082617336,0.7199052038171566,0.7259310419125995,0.731896924635729,171.8527927241664,252.05748961094523,460.70863287934475,667.2837651902579,871.803543378396,1074.2884173207894,1274.7586318741696,1473.2342348747097,14357.84594897606,27114.25993538056
211,211,16739733.0,906.1113410889226,0.0011036171325239637,0.013286527066825385,0.10514722807608207,0.19609394513677575,0.28613577217471675,0.3752817130211283,0.463540681570603,0.550921500946058,0.557007896501481,0.5630337345969237,0.5689996173200533,0.5749061417141754,235.8930880817387,316.90381465513053,397.10851154190937,605.7596548103089,812.334787121222,1016.8545653093602,1219.3394392517537,1419.8096538051338,1618.2852568056737,14502.896970907024
212,212,16740368.0,906.1113410889226,0.0011036171325239637,0.013286527066825385,0.10514722807608207,0.19609394513677575,0.28613577217471675,0.3752817130211283,0.463540681570603,0.550921500946058,0.557007896501481,0.5630337345969237,0.5689996173200533,0.5749061417141754,235.8930880817387,316.90381465513053,397.10851154190937,605.7596548103089,812.334787121222,1016.8545653093602,1219.3394392517537,1419.8096538051338,1618.2852568056737,1814.7860930316692
213,213,16740919.0,888.8808072693014,0.0011250102283927852,1.0029947092193028,10.831446018077848,20.562107485156126,20.65305420221682,20.743096029254758,20.832241970101173,20.920500938650644,21.0078817580261,21.013968153581523,21.019993991676966,21.025959874400098,25111.096386678673,33607.05543010356,42147.726928250086,50603.42152506406,50807.9413032522,51010.4261771946,51210.89639174798,51409.371994748515,51605.87283097451,51800.41854730604
214,214,16741707.0,888.8808072693014,0.0011250102283927852,1.0029947092193028,10.831446018077848,20.562107485156126,20.65305420221682,20.743096029254758,22.425457168023566,24.091079376120227,25.740129163415833,25.746215558971258,25.7522413970667,25.75820727978983,25111.096386678673,33607.05543010356,42147.726928250086,50603.42152506406,50807.9413032522,51010.4261771946,51210.89639174798,51409.371994748515,51605.87283097451,51800.41854730604
215,215,16744673.0,878.8056075650575,0.0011379080781820916,6.684583113046802,16.51303442190535,26.243695888983623,26.33464260604432,26.42468443308226,28.107045571851064,29.772667779947728,31.421717567243334,31.42780396279876,31.4338298008942,31.43979568361733,20089.341130359633,28585.30017378452,37125.97167193105,45581.66626874502,45786.186046933166,45988.67092087556,46189.14113542894,46387.616738429475,46584.11757465547,46778.663290987
216,216,16745366.0,853.4314189882082,0.0011717403153326102,1.3999642483376475,11.42695345667998,21.35417736714637,31.182628676004914,40.913290143083195,41.004236860143884,41.09427868718183,42.77663982595063,44.442262034047296,46.0913118213429,46.09739821689833,24421.50978479181,32877.204381605785,33081.72415979392,33284.20903373632,33484.6792482897,33683.15485129024,33879.655687516235,34074.201403847765,34266.811455254654,34457.50510037866
