,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
305,305,12661006.0,0.00045554534073094044,2195.1711730723896,8350.314130557756,19908.245196649637,23135.03330270534,26329.715916777986,29434.94499279476,32509.278090499705,35188.49723877043,37841.05904535224,40467.22872959419,43067.26888632731,45641.43950602665,12.034093839147609,14.053161485193119,16.052140083786018,18.029755632828035,19.987694554437866,21.925858562821723,28.739462260044842,35.48527286050979,42.140541290252145,48.72973849292176
306,306,12661546.0,0.00045038186971810355,2220.3380447483496,3364.7223903751037,15038.806764198416,26596.737830290298,29823.525936346,33018.20855041865,36123.43762643542,39197.77072414036,41876.9898724111,44529.551678992895,47155.72136323485,49755.761519967964,11.023349707712097,13.022328306304994,14.999943855347011,16.957882776956843,18.8960467853407,25.70965048256382,32.455461083028766,39.11072951277112,45.69992671544074,51.727684899462304
307,307,12662312.0,0.00044844948190722735,2229.9055754219253,5937.651170896743,17611.735544720057,29169.66661081194,32396.45471686764,35591.137330940284,38696.36640695706,41770.699504662,44449.918652932734,47102.48045951454,49728.650143756495,52328.6903004896,9.866993701726068,11.865972300318967,13.843587849360985,15.801526770970815,17.739690779354675,24.553294476577793,31.29910507704274,37.954373506785096,44.54357070945471,50.57132889347628
308,308,12662868.0,0.00045622913727197986,2191.8810490261444,12372.033209805031,31496.52252479754,42214.58410827346,52826.00446557268,55931.233541589456,59005.566639294404,61684.78578756513,64337.34759414694,66963.51727838888,69563.557435122,72137.72805482135,20.571146512833725,25.98377259449967,31.342544857839712,36.64652521736669,38.60446413897652,40.542628147360375,47.35623184458349,54.10204244504844,60.7573108747908,67.34650807746041
309,309,12663578.0,0.00045092262531290554,2217.6753701504267,4416.815992895453,23733.499973170903,42857.98928816341,53576.05087163933,64187.47122893856,67292.70030495533,70367.03340266026,73046.252550931,75698.8143575128,78324.98404175477,80925.02419848787,20.830263161327373,26.18903542466742,31.49301578419439,33.45095470580422,35.38911871418808,42.2027224114112,48.948533011876144,55.6038014416185,62.19299864428812,68.22075682830969
310,310,12664708.0,0.0004491675394688705,2226.340757354094,4982.90849584227,16656.99286966558,28214.923935757462,31441.712041813164,34636.39465588581,37741.62373190258,40815.95682960752,43495.17597787826,46147.73778446006,48773.90746870201,51373.947625435125,10.295496135438556,12.294474734031454,14.27209028307347,16.2300292046833,18.16819321306716,24.981796910290278,31.727607510755224,38.382875940497584,44.9720731431672,50.999831327188765
311,311,12665906.0,0.0004458561325602335,2242.875956999209,42630.88971344107,97251.28525533076,101913.6018148018,106496.97385207175,111034.74282853896,115469.69499742899,119860.52089329061,123843.13415883321,126495.69596541501,129121.86564965697,131721.90580639007,30.8522718522795,32.8512504508724,34.82886599991441,36.786804921524244,38.72496892990811,45.538572627131224,52.28438322759617,58.93965165733853,65.52884886000814,71.55660704402972
312,312,12666982.0,0.00045114813172233395,2216.566865039054,13037.676926440778,67658.07246833046,72320.38902780152,76903.76106507145,81441.53004153867,85876.48221042869,90267.30810629032,94249.92137183291,96902.48317841472,99528.65286265667,102128.69301938979,59.1177665947882,61.1167451933811,63.09436074242312,65.05229966403294,66.99046367241681,73.80406736963992,80.54987797010487,87.20514639984724,93.79434360251685,99.82210178653841
313,313,12667525.0,0.0004533187395173711,2205.953367523824,57887.99996179796,67886.49610153846,72469.86813880841,77007.63711527562,81442.58928416565,85833.41518002727,89816.02844556987,92468.59025215167,95094.75993639363,97694.80009312673,100268.97071282608,59.43994245886849,66.40926173417017,68.40824033276307,70.38585588180509,72.34379480341491,74.28195881179877,81.09556250902189,87.84137310948684,94.4966415392292,101.08583874189881
314,314,12668035.0,0.0004617827638416972,2165.520409815053,2190.4850397390114,12188.981179479519,16772.353216749452,21310.122193216677,25745.07436210669,30135.90025796832,34118.51352351092,36771.075330092724,39397.24501433468,41997.285171067786,44571.455790767126,84.92418806684337,91.89350734214506,93.89248594073796,95.87010148977997,97.8280404113898,99.76620441977366,106.57980811699677,113.32561871746172,119.98088714720409,126.5700843498737
