,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
28,28,12868092.0,14.261587977947283,0.07011841889881419,4.7176038675504275,11.119193420675094,17.457089550600493,23.731925432253814,29.94432898869773,36.094921106381385,42.18431674487841,48.213124951441436,54.18194851248248,60.091384335389584,65.94202309906757,207.41011292795392,297.32080445391694,386.33691604709935,474.46734622783913,561.7209100433789,648.106325750764,733.6322396355763,818.3071956810946,902.1396646562264,985.1380244230995
29,29,12869718.0,14.507545780851892,0.06892964634444734,5.6116878309985605,11.949583960923958,18.22441984257728,24.436823399021197,30.587415516704848,36.676811155201875,42.7056193617649,48.674442922805945,54.58387874571305,60.434517509391036,66.22694432669007,195.82178208570244,286.63604904477467,376.5467405707377,465.5628521639201,553.6932823446599,640.9468461601997,727.3322618675847,812.8581757523971,897.5331317979154,981.3656007730472
30,30,12870577.0,15.125269589912756,0.0661145240457012,4.975453388239198,11.187856944683116,17.338449062366767,23.427844700863798,29.456652907426818,35.42547646846787,41.33491229137497,47.185551055052954,52.977977872352,58.71277205606663,64.39050691521274,207.71361932949156,300.3623639754189,392.0892820962549,482.9035490553272,572.8142405812902,661.8303521744725,749.9607823552124,837.2143461707522,923.5997618781372,1009.1256757629495
31,31,12875358.0,15.188926124569072,0.06583743918422483,3.6436401265121257,9.856043682956043,16.006635800639696,22.096031439136723,28.124839645699748,34.09366320674079,40.00309902964789,45.853737793325884,51.64616461062493,57.38095879433956,63.05869365348566,227.9008803305818,320.5496249765091,412.27654309734515,503.0908100564174,593.0015015823803,682.0176131755628,770.1480433563025,857.4016071718423,943.7870228792274,1029.3129367640397
32,32,12877292.0,16.187890020675233,0.06177457338311517,2.420709378169084,8.449517584732108,14.418341145773155,20.327776968680254,26.178415732358243,31.970842549657288,37.70563673337192,43.383371592518024,49.00461469540173,54.569928365512865,60.07986912016912,252.8621170673103,348.33228903367103,442.85256817033405,536.4323973471791,629.0811419931064,720.8080601139425,811.6223270730146,901.5330185989777,990.5491301921601,1078.6795603729
33,33,12882199.0,16.13456069181557,0.0619787559823219,3.4149228181157403,9.443731024678764,15.41255458571981,21.321990408626913,27.172629172304898,32.96505598960395,38.69985017331858,44.37758503246468,49.99882813534838,55.56414180545952,61.07408256011578,236.7937496191216,332.2639215854823,426.78420072214533,520.3640298989903,613.0127745449176,704.7396926657538,795.553959624826,885.464651150789,974.4807627439714,1062.611192924711
34,34,12883799.0,15.554740196776997,0.06428908405729618,2.4316530393279807,8.582245157011632,14.671640795508662,20.700449002071686,26.66927256311273,32.578708386019834,38.42934714969782,44.221773966996864,49.9565681507115,55.634303009857604,61.25554611274131,248.4457394168816,342.02556859372663,434.67431323965394,526.40123136049,617.2154983195622,707.1261898455252,796.1423014387076,884.2727316194474,971.5262954349872,1057.9117111423723
35,35,12886088.0,16.19112776055827,0.061762220321428675,2.3544416265116155,8.38324983307464,14.352073394115687,20.261509217022788,26.112147980700772,31.90457479799982,37.639368981714455,43.317103840860554,48.938346943744264,54.5036606138554,60.01360136851165,253.93499632436675,349.40516829072743,443.9254474273905,537.5052766042355,630.1540212501628,721.8809393709988,812.6952063300711,902.6058978560341,991.6220094492165,1079.7524396299564
36,36,12886961.0,16.518193720765066,0.06053930695478509,2.3299004680518096,8.298724029092856,14.208159851999957,20.058798615677944,25.85122543297699,31.586019616691623,37.26375447583773,42.88499757872143,48.45031124883257,53.96025200348882,59.41537048030692,256.5053778455355,352.93499632970236,448.4051682960631,542.9254474327261,636.5052766095711,729.1540212554985,820.8809393763345,911.6952063354067,1001.6058978613697,1090.6220094545522
37,37,12888896.0,16.559538797660885,0.06038815526319216,1.5799004680918707,7.548724029132918,13.45815985204002,19.308798615718004,25.101225433017053,30.836019616731683,36.51375447587779,42.13499757876149,47.70031124887263,53.210252003528886,58.665370480346986,268.9100543754166,365.3396728595835,460.80984482594425,555.3301239626072,648.9099531394522,741.5586977853796,833.2856159062156,924.0998828652879,1014.0105743912509,1103.0266859844332
38,38,12897559.0,16.290190521100275,0.061386636252333884,0.5010922612629783,6.529900467826002,12.498724028867048,18.40815985177415,24.258798615452136,30.05122543275118,35.786019616465815,41.46375447561192,47.084997578495624,52.65031124860676,58.16025200326301,284.0358258688878,379.50599783524854,474.02627697191156,567.6061061487566,660.2548507946839,751.98176891552,842.7960358745922,932.7067274005552,1021.7228389937376,1109.8532691744774
39,39,12898655.0,16.84175893603214,0.0593762209635092,2.4987240294051394,8.40815985231224,14.258798615990225,20.05122543328927,25.786019617003905,31.463754476150008,37.08499757903371,42.65031124914485,48.160252003801105,53.615370480619205,59.01621240909962,255.848411208937,353.24711375537174,449.67673223953864,545.1469042058993,639.6671833425623,733.2470125194073,825.8957571653347,917.6226752861708,1008.436942245243,1098.347633771206
40,40,12899607.0,18.28091013797585,0.05470187164930316,1.8192544386939495,7.496989297840052,13.118232400723759,18.683546070834897,24.19348682549115,29.64860530230925,35.04944723078967,40.396552595082966,45.690455907053135,50.931686665051764,56.120768921839264,276.9091358809105,378.2825530512112,478.64733643579285,578.01352298911,676.3910478066625,773.7897503530972,870.2193688372641,965.6895408036248,1060.2098199402878,1153.789649117133
41,41,12901399.0,19.082185598721146,0.052404898528343534,0.9632718254484575,6.528585495559596,12.038526250215847,17.49364472703395,22.89448665551437,28.241592019807662,33.53549533177784,38.77672608977647,43.96580834656397,49.10326090082938,54.189597558735585,298.12748281795217,401.5486731470832,503.9408568931346,605.3142740634353,705.6790574480169,805.0452440013341,903.4227688188867,1000.8214713653214,1097.2510898494882,1192.721261815849
42,42,12904092.0,18.61851356381324,0.0537099804757556,2.272028722192475,7.89327182507618,13.458585495187318,18.96852624984357,24.42364472666167,29.824486655142092,35.17159201943539,40.465495331405556,45.706726089404185,50.89580834619169,56.03326090045711,270.9170617092892,373.30924545534066,474.68266262564134,575.047446010223,674.4136325635401,772.7911573810926,870.1898599275274,966.6194784116942,1062.089650378055,1156.609929514718
43,43,12905497.0,18.30102919664516,0.05464173567808494,1.5009813627811417,7.178716221927245,12.799959324810951,18.365272994922087,23.87521374957834,29.33033222639644,34.73117415487686,40.07827951917016,45.37218283114033,50.61341358913896,55.80249584592646,282.73089014443536,384.10430731473605,484.4690906993177,583.8352772526349,682.2128020701874,779.6115046166221,876.041123100789,971.5112950671497,1066.0315742038126,1159.6114033806577
44,44,12908160.0,18.95855979263035,0.05274662268326543,2.7999593253503137,8.365272995461451,13.875213750117704,19.330332226935806,24.731174155416227,30.07827951970952,35.372182831679694,40.61341358967832,45.802495846465824,50.93994840073124,56.02628505863744,263.19193851450177,366.6131288436328,469.00531258968425,570.3787297599849,670.7435131445666,770.1096996978837,868.4872245154362,965.885927061871,1062.3155455460378,1157.7857175123986
45,45,12912251.0,19.17591306663237,0.05214875539564687,5.146890423382451,10.656831178038702,16.111949654856804,21.512791583337226,26.859896947630517,32.15380025960069,37.39503101759932,42.58411327438682,47.72156582865224,52.80790248655844,57.84363174602198,220.0994281834314,324.55996851781913,427.98115884695017,530.3733425930016,631.7467597633023,732.1115431478839,831.477729701201,929.8552545187536,1027.2539570651884,1123.6835755493553
46,46,12914384.0,19.19317829333206,0.05210184497412875,4.906993245809163,10.416934000465414,15.872052477283514,21.272894405763935,26.61999977005723,31.913903082027403,37.15513384002603,42.34421609681353,47.48166865107895,52.56800530898515,57.60373456844869,224.70209618366994,329.16263651805764,432.5838268471887,534.9760105932401,636.3494277635408,736.7142111481224,836.0803977014396,934.4579225189921,1031.856625065427,1128.2862435495938
47,47,12923229.0,19.06120778334946,0.05246257274806742,1.2740748268480657,6.839388496959204,12.349329251615456,17.804447728433555,23.205289656913976,28.55239502120727,33.846298333177444,39.08752909117607,44.27661134796357,49.41406390222899,54.50040056013519,292.1996234064094,395.6208137355404,498.0129974815918,599.3864146518926,699.7511980364742,799.1173845897913,897.4949094073438,994.8936119537785,1091.3232304379455,1186.793402404306
48,48,12924532.0,19.594597367954474,0.05103447553535479,4.6724587417283105,10.127577218546412,15.528419147026833,20.875524511320126,26.1694278232903,31.410658581288928,36.59974083807643,41.737193392341844,46.823530050248046,51.85925930971158,56.84488470350777,230.59809673453213,336.1084300799923,440.56897041438003,543.9901607435111,646.3823444895625,747.7557616598632,848.1205450444448,947.486731597762,1045.8642564153145,1143.2629589617493
49,49,12928095.0,21.497770864906837,0.046516450765246985,1.1269825798295796,6.368213337828209,11.557295594615711,16.69474814888113,21.78108480678733,26.816814066250867,31.802439460047054,36.738459537656894,41.62536774693498,46.463652982156496,51.25379876534217,311.8343088594443,421.65037847806394,530.3738178587821,638.0154922799544,744.5861657622057,850.0964991076659,954.5570394420536,1057.9782297711847,1160.370413517236,1261.7438306875367
