,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
1122,1122,16048892.0,5.374770715945696,0.18605444824524928,0.003826304878851901,0.008010245264565062,0.012152556841591456,0.01625365380757984,0.02031394615756356,0.02433383995484696,0.028313737132741892,0.03225403563591215,0.036155129472400294,0.040017408692730606,0.043841259509840164,0.04726650894782567,0.0694904468350082,0.09149326377974967,0.11327716002374923,0.1348443135454797,0.15619688101336954,0.17733699747291976,0.19826677653470615,0.2189883113331356,0.23950367370132092
1123,1123,16050968.0,5.336213268003454,0.18739880693976654,0.0011426378488938941,0.005368625456733675,0.009552565842446835,0.01369487741947323,0.017795974385461613,0.021856266735445332,0.025876160532728735,0.029856057710623666,0.03379635621379393,0.03769745005028207,0.04155972927061238,0.06123016260680218,0.08323297955154366,0.10501687579554321,0.1265840293172737,0.14793659678516352,0.16907671324471374,0.19000649230650013,0.21072802710492955,0.2312433894731149,0.251554630797212
1124,1124,16089902.0,5.231600559166745,0.19114609165789856,0.0011114664627949018,0.0053799237806652295,0.00960591138850501,0.013789851774218171,0.017932163351244566,0.022033260317232947,0.026093552667216666,0.030113446464500072,0.034093343642395,0.03803364214556526,0.041934735982053405,0.06084407749519443,0.08262797373919398,0.10419512726092447,0.12554769472881427,0.14668781118836452,0.1676175902501509,0.18833912504858033,0.20885448741676566,0.22916572874086277,0.24927487971083107
1125,1125,16105632.0,5.236310883485718,0.190974146159618,0.0009223197473298147,0.005190777065200143,0.009416764673039923,0.013600705058753083,0.017743016635779478,0.021844113601767863,0.02590440595175158,0.029924299749034985,0.03390419692692991,0.03784449543010017,0.041745589266588314,0.06183407749524757,0.08361797373924713,0.10518512726097762,0.12653769472886744,0.14767781118841766,0.16860759025020405,0.18932912504863347,0.20984448741681883,0.23015572874091592,0.25026487971088424
1126,1126,16107624.0,5.245219736932381,0.1906497821166289,0.000544524949528194,0.004812982267398522,0.009038969875238303,0.013222910260951463,0.017365221837977857,0.021466318803966242,0.025526611153949958,0.029546504951233364,0.033526402129128295,0.03746670063229855,0.041367794468786696,0.06381407749535387,0.08559797373935342,0.1071651272610839,0.12851769472897373,0.14965781118852395,0.17058759025031034,0.19130912504873976,0.2118244874169251,0.2321357287410222,0.2522448797109905
1127,1127,16109041.0,5.269402115454647,0.1897748507495939,0.003833816079260275,0.008059803687100055,0.012243744072813216,0.01638605564983961,0.020487152615827994,0.024547444965811713,0.028567338763095116,0.032547235940990044,0.03648753444416031,0.04038862828064845,0.044250907500978764,0.046959260550888754,0.06896207749563023,0.09074597373962977,0.11231312726136027,0.13366569472925008,0.15480581118880032,0.17573559025058672,0.19645712504901613,0.21697248741720146,0.23728372874129855
1128,1128,16110985.0,5.2715101924860335,0.18969895978298432,0.0037338160792656713,0.007959803687105452,0.012143744072818612,0.01628605564984501,0.02038715261583339,0.02444744496581711,0.028467338763100515,0.032447235940995446,0.0363875344441657,0.04028862828065385,0.04415090750098416,0.04748633818783461,0.06948915513257609,0.09127305137657564,0.11284020489830612,0.13419277236619595,0.15533288882574617,0.17626266788753256,0.19698420268596198,0.21749956505414733,0.23781080637824442
1129,1129,16113518.0,5.286290364613786,0.18916857210378746,0.0031446585357572717,0.0073706461435970524,0.011554586529310212,0.015696898106336607,0.019797995072324992,0.02385828742230871,0.027878181219592114,0.03185807839748704,0.035798376900657305,0.03969947073714544,0.04356174995747576,0.05059665736013126,0.07259947430487274,0.09438337054887228,0.11595052407060277,0.13730309153849257,0.15844320799804282,0.1793729870598292,0.20009452185825863,0.22060988422644395,0.24092112555054107
1130,1130,16114157.0,5.882085676507964,0.17000772429987335,0.0015997766905864793,0.005619670487869884,0.009599567665764813,0.013539866168935072,0.017440960005423216,0.02130323922575353,0.025127090042863086,0.028912894788343288,0.03266103205871477,0.03637187657144103,0.040045799394270234,0.06134852487785685,0.08447939245226975,0.10738011568841238,0.13005298405818327,0.1525002649497938,0.17472420283697634,0.1967270197817178,0.21851091602571737,0.24007806954744784,0.26143063701533764
1131,1131,16115469.0,5.8334688351729564,0.17142458942619018,0.0032947853614973496,0.0073146791587807534,0.011294576336675683,0.015234874839845942,0.019135968676334086,0.0229982478966644,0.026822098713773956,0.030607903459254158,0.034356040729625635,0.0380668852423519,0.04174080806518111,0.05141887534901403,0.07454974292342692,0.09745046615956955,0.12012333452934046,0.14257061542095098,0.16479455330813353,0.186797370252875,0.20858126649687453,0.23014842001860503,0.25150098748649485
1132,1132,16116518.0,5.8043757389757165,0.172283815688415,0.0002588955114583522,0.004319187861442071,0.008339081658725475,0.012318978836620404,0.016259277339790663,0.020160371176278807,0.02402265039660912,0.027846501213718677,0.03163230595919888,0.03538044322957036,0.03909128774229662,0.06858858391590383,0.09148930715204646,0.11416217552181737,0.1366094564134279,0.15883339430061044,0.1808362112453519,0.20262010748935144,0.22418726101108194,0.24553982847897177,0.266679944938522
1133,1133,16133203.0,5.778316029434105,0.17306080091606452,0.0011674755135657913,0.00522776786354951,0.009247661660832913,0.013227558838727844,0.017167857341898102,0.021068951178386246,0.02493123039871656,0.028755081215826116,0.03254088596130632,0.0362890232316778,0.03999986774440406,0.06332638670422341,0.08622710994036605,0.10889997831013695,0.13134725920174747,0.15357119708893002,0.17557401403367148,0.19735791027767102,0.21892506379940152,0.24027763126729135,0.26141774772684157
1134,1134,16141546.0,5.684329144716612,0.17592225477116602,0.0004478498629398237,0.004548946828928207,0.008609239178911926,0.01262913297619533,0.01660903015409026,0.02054932865726052,0.024450422493748663,0.028312701714078976,0.032136552531188536,0.03592235727666874,0.03967049454704021,0.06684635249222125,0.08951922086199215,0.11196650175360268,0.13419043964078523,0.15619325658552669,0.17797715282952623,0.19954430635125672,0.22089687381914655,0.24203699027869677,0.2629667693404832
1135,1135,16147179.0,5.645808750285615,0.17712254244343845,0.0018451904759068688,0.005946287441895253,0.010006579791878972,0.014026473589162376,0.018006370767057304,0.021946669270227565,0.02584776310671571,0.02971004232704602,0.03353389314415558,0.03731969788963578,0.04106783516000726,0.05892999404034488,0.08160286241011577,0.10405014330172631,0.12627408118890884,0.1482768981336503,0.17006079437764987,0.19162794789938034,0.21298051536727017,0.2341206318268204,0.2550504108886068
1136,1136,16159388.0,5.550645935232351,0.18015921239950963,0.001232894083947824,0.005375205660974219,0.009476302626962602,0.013536594976946321,0.017556488774229724,0.021536385952124655,0.025476684455294912,0.029377778291783056,0.03324005751211337,0.037063908329222926,0.04084971307470313,0.06184024656171058,0.0842875274533211,0.10651146534050364,0.1285142822852451,0.15029817852924468,0.17186533205097515,0.19321789951886498,0.2143580159784152,0.23528779504020159,0.256009329838631
1137,1137,16166743.0,5.359207236981791,0.18659476220650537,0.0002242060899962858,0.004450193697836067,0.008634134083549226,0.012776445660575621,0.016877542626564004,0.020937834976547724,0.02495772877383113,0.028937625951726057,0.03287792445489632,0.03677901829138446,0.040641297511714775,0.06614183249945067,0.08814464944419213,0.10992854568819169,0.13149569920992218,0.15284826667781198,0.17398838313736223,0.19491816219914862,0.21563969699757804,0.23615505936576336,0.2564663006898605
1138,1138,16172264.0,5.202386931191891,0.19221945872659174,0.002318144151782612,0.00658660146965294,0.01081258907749272,0.01499652946320588,0.019138841040232276,0.023239938006220658,0.027300230356204377,0.03132012415348778,0.035300021331382714,0.03924031983455297,0.043141413671041115,0.05454872643189108,0.07633262267589062,0.09789977619762112,0.11925234366551093,0.14039246012506115,0.16132223918684754,0.182043773985277,0.20255913635346232,0.2228703776775594,0.24297952864752773
1139,1139,16178076.0,5.024466531283258,0.1990261043185013,0.001215776469622633,0.005570458023688828,0.009881811915899302,0.014150269233769629,0.01837625684160941,0.02256019722732257,0.026702508804348966,0.030803605770337347,0.03486389812032107,0.03888379191760447,0.042863689095499403,0.059227952732545636,0.08058052020043545,0.10172063665998568,0.12265041572177207,0.1433719505202015,0.16388731288838682,0.18419855421248393,0.20430770518245223,0.22421677680181995,0.24392775978399184
1140,1140,16182359.0,4.981443534266884,0.2007450236304183,0.0030984337349721698,0.007453115289038366,0.011764469181248838,0.016032926499119166,0.020258914106958948,0.024442854492672108,0.028585166069698503,0.032686263035686884,0.03674655538567061,0.04076644918295401,0.04474634636084894,0.04980852050257836,0.07116108797046818,0.09230120443001841,0.1132309834918048,0.13395251829023422,0.15446788065841957,0.17477912198251666,0.19488827295248495,0.21479734457185268,0.23450832755402456
1141,1141,16183291.0,4.978953559541965,0.20084541621874338,0.003208392802795575,0.0075630743568617705,0.011874428249072243,0.016142885566942572,0.02036887317478235,0.02455281356049551,0.028695125137521905,0.03279622210351029,0.036856514453494006,0.040876408250777416,0.04485630542867235,0.0492608527041185,0.0706134201720083,0.09175353663155855,0.11268331569334494,0.13340485049177436,0.1539202128599597,0.1742314541840568,0.1943406051540251,0.2142496767733928,0.2339606597555647
1142,1142,16200606.0,4.809155395435444,0.2079367202293232,0.002082743433323189,0.006525390953964273,0.010923835572993706,0.015278517127059901,0.019589871019270375,0.023858328337140702,0.02808431594498048,0.03226825633069364,0.036410567907720036,0.04051166487370842,0.044571957223692144,0.05399595157997433,0.07492573064176072,0.09564726544019016,0.11616262780837548,0.13647386913247259,0.15658302010244088,0.1764920917218086,0.1962030747039805,0.2157179398800525,0.23503863843126202
