,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
27,34,14427551.0,41434.48798228233,2.4134484307555746e-05,0.029611666544844432,0.07481307046750052,0.11956473555491372,0.16387113629642555,0.2077367027174739,0.25116582122661535,0.2941628343529571,0.33673204090861,0.37887769820003214,0.4206040200829146,0.46191517890094963,2540.977940997056,2540.977940997052,2540.977940997048,2540.9779409970442,2540.9779409970406,2540.9779409970374,2540.9779409970342,2540.977940997031,2540.97794099703,2540.9779409970292
28,35,14433665.0,41675.49420492828,2.39949164149743e-05,0.01626612716399508,0.061467531086651164,0.10621919617406436,0.15052559691557618,0.19439116333662454,0.237820281845766,0.2808172949721078,0.32338650152776066,0.3655321588191828,0.4072584807020652,0.44856963952010026,3095.5651756250263,3095.565175625022,3095.5651756250186,3095.5651756250145,3095.5651756250113,3095.5651756250077,3095.5651756250045,3095.5651756250013,3095.5651756250004,3095.5651756249995
29,36,14434906.0,42888.84857679025,2.3316084091405533e-05,0.04128615122693126,0.08559255196844308,0.12945811838949145,0.1728872368986329,0.21588425002497463,0.2584534565806275,0.3005991138720497,0.34232543575493213,0.38363659457296717,0.42453672076954274,0.4650299043991198,3962.3966275202047,5840.920507988441,5840.920507988441,5840.920507988438,5840.920507988433,5840.92050798843,5840.920507988426,5840.920507988423,5840.92050798842,5840.920507988416
30,37,14439599.0,42764.657289777635,2.338379548382439e-05,0.0029383361391733783,0.04769000122658658,0.0919964019680984,0.13586196838914677,0.1792910868982882,0.22228810002462995,0.26485730658028284,0.307002963871705,0.34872928575458745,0.3900404445726225,0.43094057076919806,5566.646121127298,5566.646121127298,5566.6461211272945,5566.646121127291,5566.646121127287,5566.646121127284,5566.64612112728,5566.646121127276,5566.646121127274,5566.646121127273
31,38,14440644.0,42610.98897574082,2.3468124632575825e-05,0.011183806138729577,0.05593547122614278,0.1002418719676546,0.14410743838870296,0.1875365568978444,0.23053357002418617,0.27310277657983906,0.31524843387126117,0.35697475575414367,0.3982859145721787,0.4391860407687542,5214.643226552011,5214.643226552011,5214.643226552007,5214.6432265520025,5214.643226551999,5214.643226551995,5214.6432265519925,5214.643226551989,5214.643226551985,5214.643226551985
32,39,14442995.0,42517.352519605534,2.3519808754293475e-05,0.016079626138466068,0.06083129122587927,0.10513769196739109,0.14900325838843945,0.1924323768975809,0.23542939002392266,0.27799859657957554,0.32014425387099765,0.36187057575388015,0.4031817345719152,0.4440818607684907,5006.246902893931,5006.246902893931,5006.246902893928,5006.246902893923,5006.2469028939195,5006.246902893916,5006.246902893913,5006.2469028939095,5006.246902893906,5006.246902893906
33,40,14445886.0,42559.88901003675,2.349630187626132e-05,0.013752510716409289,0.058504175803822486,0.10281057654533432,0.14667614296638268,0.19010526147552412,0.23310227460186586,0.27567148115751877,0.3178171384489409,0.3595434603318234,0.4008546191498584,0.44175474534643394,5105.24690289926,5105.24690289926,5105.2469028992555,5105.246902899252,5105.246902899248,5105.246902899245,5105.246902899242,5105.246902899238,5105.246902899235,5105.246902899234
34,41,14447599.0,42781.76571874405,2.3374444303542813e-05,0.002152833135174445,0.046904498222587646,0.09121089896409947,0.13507646538514784,0.17850558389428928,0.22150259702063102,0.2640718035762839,0.30621746086770607,0.3479437827505885,0.38925494156862356,0.43015506776519913,5600.246902925903,5600.246902925903,5600.246902925898,5600.246902925895,5600.246902925891,5600.246902925887,5600.246902925884,5600.246902925881,5600.246902925877,5600.246902925876
35,42,14449741.0,43550.06027155433,2.2962080735699276e-05,0.006998464528550957,0.05130486527006278,0.09517043169111114,0.13859955020025258,0.18159656332659435,0.22416576988224723,0.26631142717366935,0.30803774905655185,0.3493489078745869,0.3902490340711624,0.4307422177007395,5444.323022550382,7322.846903018619,7322.846903018619,7322.846903018615,7322.846903018611,7322.846903018607,7322.846903018603,7322.846903018601,7322.846903018597,7322.846903018593
36,43,14452610.0,43772.721750227036,2.2845278063953457e-05,0.0399681961323344,0.08383376255338275,0.1272628810625242,0.17025989418886595,0.21282910074451886,0.254974758035941,0.29670107991882344,0.3380122387368585,0.37891236493343405,0.4194055485630111,0.4594958379237656,4041.9206172100744,5939.323022577025,7817.846903045262,7817.846903045262,7817.846903045258,7817.846903045253,7817.84690304525,7817.846903045246,7817.846903045243,7817.84690304524
