,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
34,34,13184502.0,10.811210626869235,0.09249657920036149,348.0259656955199,941.9463859041701,1529.957514729467,2112.1180877517195,2688.486380336363,3259.1199917044064,3824.0760068346153,4383.410864771015,4937.180549312719,5485.440392100574,6028.245231980174,15511.61884100617,21816.187799506944,28058.02828730258,34237.76480266409,40356.01447735252,46413.38994607172,46413.38994607172,46413.38994607172,46413.38994607172,46413.38994607172
35,35,13186147.0,11.038427309310533,0.09059261541329665,320.90386671885665,908.9149955441535,1491.0755685664058,2067.4438611510495,2638.077472519093,3203.0334876493016,3762.3683455857017,4316.138030127407,4864.39787291526,5407.20271279486,5944.606811678607,15928.581427646764,22296.509144370037,28601.07810287081,34842.91859066644,41022.65510602795,47140.90478071638,53198.280249435586,53198.280249435586,53198.280249435586,53198.280249435586
36,36,13186812.0,11.253527239382318,0.08886102807841853,339.7493199883489,921.9098930106012,1498.2781855952448,2068.9117969632885,2633.8678120934974,3193.202670029897,3746.972354571602,4295.232197359456,4838.037037239056,5375.441136122802,5907.49826064851,15840.551680405466,22272.474842413776,28640.40255913705,34944.97151763782,41186.81200543346,47366.54852079497,53484.798195483396,59542.1736642026,59542.1736642026,59542.1736642026
37,37,13187822.0,11.443029610163022,0.08738944441005896,431.8657302742895,1008.2340228589331,1578.8676342269766,2143.8236493571853,2703.1585072935854,3256.92819183529,3805.188034623144,4347.992874502745,4885.396973386491,5417.454097912198,5944.217420084845,14905.131329967033,21401.693284705034,27833.61644671335,34201.54416343662,40506.11312193739,46747.95360973303,52927.69012509454,59045.939799782966,65103.31526850217,65103.31526850217
38,38,13188688.0,11.425878789605552,0.08752062037536479,474.7849377588232,1051.153230343467,1621.7868417115103,2186.7428568417195,2746.077714778119,3299.8473993198236,3848.107242107678,4390.912081987278,4928.316180871025,5460.373305396733,5987.136627569379,14414.34478103701,20910.906735775014,27342.829897783326,33710.7576145066,40015.326573007376,46257.16706080301,52436.903576164514,58555.15325085295,64612.52871957215,64612.52871957215
39,39,13189249.0,11.37799312322043,0.08788896153919978,16.54684208372801,598.7074151059803,1175.075707690624,1745.7093190586675,2310.6653341888764,2870.0001921252765,3423.769876666981,3972.0297194548352,4514.834559334436,5052.238658218182,5584.2957827438895,19497.877186361722,25929.800348370034,32297.728065093306,38602.29702359408,44844.137511389716,51023.87402675122,57142.123701439654,63199.49917015885,63199.49917015885,63199.49917015885
40,40,13190369.0,11.621769286452874,0.08604541833106841,558.9725970814609,1129.6062084495045,1694.5622235797132,2253.8970815161133,2807.6667660578178,3355.926608845672,3898.731448725272,4436.135547609018,4968.192672134726,5494.955994307373,6016.4782057275725,13524.304286448167,20086.154385004003,26582.716339742004,33014.63950175032,39382.56721847359,45687.13617697437,51928.97666477,58108.713180131504,64226.96285481994,70284.33832353914
41,41,13191218.0,11.559183993883035,0.08651129703698691,138.15572086318298,714.5240134478266,1285.1576248158701,1850.113639946079,2409.448497882479,2963.2181824241834,3511.4780252120377,4054.2828650916376,4591.686963975384,5123.744088501092,5650.507410673738,18283.21320146121,24779.775156199215,31211.698318207527,37579.6260349308,43884.19499343157,50126.035481227205,56305.771996588715,62424.02167127714,68481.39713999635,68481.39713999635
42,42,13192532.0,11.276055688397312,0.08868349249365333,279.35397501278453,861.5145480350369,1437.8828406196806,2008.5164519877242,2573.472467117933,3132.807325054333,3686.5770095960374,4234.836852383892,4777.641692263492,5315.045791147238,5847.102915672946,16520.9239900726,22952.847152080914,29320.774868804183,35625.34382730496,41867.184315100596,48046.9208304621,54165.170505150534,60222.54597386973,60222.54597386973,60222.54597386973
43,43,13194168.0,11.24790216339792,0.08890546747944919,354.40647854277057,936.5670515650229,1512.9353441496667,2083.56895551771,2648.524970647919,3207.859828584319,3761.6295131260235,4309.889355913878,4852.694195793478,5390.098294677224,5922.1554192029325,15675.644763172844,22107.567925181156,28475.49564190443,34780.0646004052,41021.90508820084,47201.64160356234,53319.891278250776,59377.26674696997,59377.26674696997,59377.26674696997
