,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
255,255,13406921.0,55661.915747165556,1.7965605146296505e-05,3.400711091164344e-05,0.00016008265388533252,0.0002849037863009186,0.0004084829897622062,0.0005308326207859093,0.000651964913312234,0.0007718919796834335,0.0008906258103752208,0.0010081782789677415,0.0011245611391905502,0.0012397860281846132,19.058845732981364,25.90593334658684,32.68489472498513,39.396407678514315,46.041143279043,52.61976592459769,59.13293342523116,65.58129704114336,71.96550161076571,78.28618541761846
256,256,13423219.0,55812.398455915994,1.7917165856791847e-05,1.654449693040579e-05,0.00014262003990409485,0.000267441172319681,0.0003910203757809686,0.0005133700068046717,0.0006345022993309963,0.0007544293657021958,0.0008731631963939831,0.0009907156649865039,0.0011070985252093124,0.0012223234142033756,20.032224373699044,26.87931198730452,33.65827336570281,40.369786319232,47.01452191976068,53.59314456531536,60.10631206594884,66.55467568186104,72.9388802514834,79.25956405833612
257,257,13444076.0,59210.15619082584,1.68889944619829e-05,2.194614493261742e-05,0.00014429577595632048,0.0002654280684826452,0.0003853551348538446,0.000504088965545632,0.0006216414341381527,0.0007380242943609613,0.0008532491833550245,0.0009673276226051108,0.0010802710185584677,0.0011920906645227246,20.293304216314223,27.348906156160226,34.334307147406705,41.250205718848214,48.09729333245369,54.87625471085198,61.58776766438117,68.23250326490985,74.81112591046454,81.32429341109801
258,258,13454054.0,65581.12820718678,1.5248289063292053e-05,8.06419665285716e-06,0.00012444705687566582,0.00023967194586972893,0.00035375038511981533,0.00046669378107317224,0.0005785134270374292,0.0006892205053500671,0.0007988260839659482,0.0009073411233011172,0.0010147764736084448,0.0011211428772682098,22.173014415528225,29.590346243478034,36.93387805145324,44.2043441314587,51.40247144803196,58.52897978439996,65.58458172424596,72.56998271549244,79.48588128693395,86.33296890053943
259,259,13463031.0,64591.88183760513,1.5481821732863713e-05,0.0012357948823304196,0.002716304664306411,0.004182083860282691,0.005633279035405282,0.007070035291424516,0.008492496290838331,0.009900804284490139,0.011295100068158708,0.012675523069618347,0.014042211315254398,0.015395301459201786,208.30609891428307,302.6621948756488,396.07947861609784,488.5672910857838,580.1348800219323,670.7914018081067,760.5459212422637,849.4074123481375,937.3847611310331,1024.4867636989588
260,260,13468226.0,63237.01402512071,1.581352338367452e-05,0.0013383364778568015,0.0028337248822444135,0.004314234664220405,0.005780013860196684,0.007231209035319275,0.00866796529133851,0.010090426290752325,0.011498734284404132,0.012893030068072702,0.014273453069532342,0.01564014131516839,200.5306782742946,293.9479620147436,386.4357744844295,478.00336342057807,568.6598852067525,658.4144046409095,747.2758957467834,835.2532445296788,922.3552470976045,1008.59061382724
261,261,13472905.0,60605.880088463564,1.6500049146062177e-05,2.274674913759009e-05,0.0015636741988932416,0.0030892699313432672,0.004599686477681264,0.006095074882068876,0.0075755846640448675,0.009041363860021146,0.010492559035143737,0.011929315291162973,0.013351776290576788,0.014760084284228595,276.0938872882828,366.75040907445725,456.5049285086143,545.3664196144881,633.3437683973837,720.4457709653093,806.6811376949447,892.0584910315238,976.5863676998815,1060.2732195268927
262,262,13491669.0,61141.53849113503,1.635549292147745e-05,0.0008829304575416677,0.002408526189991693,0.00391894273632969,0.005414331140717302,0.0068948409226932935,0.008360620118669573,0.009811815293792164,0.011248571549811398,0.012671032549225214,0.014079340542877022,0.015473636326545592,225.96575126414024,317.5333402002888,408.1898619864632,497.94438142062023,586.8058725264941,674.7832213093895,761.8852238773153,848.1205906069507,933.4979439435298,1018.0258206118874
263,263,13498876.0,62370.38008945416,1.603325165833139e-05,0.0008806228265416281,0.002391039372879625,0.003886427777267237,0.0053669375592432286,0.006832716755219508,0.008283911930342098,0.009720668186361334,0.011143129185775149,0.012551437179426956,0.013945732963095526,0.015326155964555166,227.8326136974768,320.32042616716274,411.88801510331126,502.5445368894857,592.2990563236427,681.1605474295166,769.1378962124121,856.2398987803377,942.4752655099732,1027.8526188465523
264,264,13500433.0,62821.044739208075,1.5918232562851293e-05,0.00033067177043334884,0.0018410883167713458,0.0033364767211589577,0.004816986503134949,0.006282765699111229,0.00773396087423382,0.009170717130253055,0.01059317812966687,0.012001486123318677,0.013395781906987246,0.014776204908446887,262.2583280875154,354.7461405572013,446.31372949334985,536.9702512795243,626.7247707136813,715.5862618195551,803.5636106024506,890.6656131703763,976.9009799000117,1062.278333236591
