,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10
49,49,13618086.0,0.002831328342753477,353.19110994647,1368.8380976401024,3202.0657061743273,5017.053294861031,6813.982364240139,8593.032592438112,10354.381837067389,12098.206241881891,13824.680166841128,15533.976253763509,17226.265405167145,18901.71683575749,11.743616032713174,16.856301929314345,21.918118173106468,26.92957110652624,31.891161649533252,36.803386104807814,41.66673541220453,46.48169610130856,51.24874946368507,55.968372245079415
50,50,13620617.0,0.0028421073186001883,351.85159738884386,1020.7245325741806,2853.952141108405,4668.939729795109,6465.868799174217,8244.91902737219,10006.268272001467,11750.09267681597,13476.566601775206,15185.862688697587,16878.15184010122,18553.603270691565,12.731186270231817,17.843872166832988,22.90568841062511,27.917141344044882,32.87873188705189,37.79095634232646,42.65430564972318,47.4692663388272,52.23631970120372,56.95594248259806
51,51,13622812.0,0.0029785703758717025,335.7315335238107,377.41959165722943,2174.348661036338,3953.398889234311,5714.748133863587,7458.5725386780905,9185.046463637327,10894.342550559708,12586.631701963344,14262.083132553687,15920.864363653936,17563.141261101133,14.837967940981425,20.053931683479387,25.217998239556586,30.330684136157757,35.39250037994988,40.403953313369655,45.36554385637666,50.27776831165123,55.14111761904795,59.956078308151966
52,52,13623661.0,0.0030160342941086054,331.56121664576494,1040.103516350214,2819.1537445481868,4580.502989177463,6324.327393991966,8050.801318951203,9760.097405873585,11452.38655727722,13127.837987867562,14786.619218967811,16428.89611641501,18054.832898088043,12.96940504619316,18.237787525761092,23.453751268259055,28.617817824336253,33.73050372093742,38.79231996472955,43.80377289814932,48.76536344115633,53.67758789643089,58.54093720382761
53,53,13625012.0,0.0030500020441861344,327.86863271327445,43.23619610849212,1822.2864243064648,3583.6356689357413,5327.460073750245,7053.933998709482,8763.230085631862,10455.519237035498,12130.970667625841,13789.75189872609,15432.028796173288,17057.96557784632,15.993049090955779,21.261431570523712,26.477395313021674,31.641461869098872,36.75414776570004,41.81596400949216,46.82741694291194,51.78900748591895,56.70123194119351,61.56458124859023
54,54,13625635.0,0.003284250807016576,304.4834450108283,553.0901252049039,2262.3862121272846,3954.67536353092,5630.126794121263,7288.908025221513,8931.18492266871,10557.121704341744,12166.880965222319,13760.623655068948,15338.509117403093,16900.695139196185,14.960527619171584,20.44390585873083,25.87272624952096,31.24753163100842,36.568859489244275,41.83724196881221,47.05320571131017,52.217272267387365,57.329958163988536,62.39177440778066
55,55,13626899.0,0.0032006049890190066,312.44093020879234,1064.0186671252425,2790.4925920844794,4499.78867900686,6192.077830410495,7867.529261000838,9526.310492101087,11168.587389548286,12794.524171221317,14404.283432101895,15998.026121948524,17575.91158428267,13.189370945815254,18.618191336605385,23.992996718092847,29.314324576328698,34.58270705589663,39.798670798394596,44.96273735447179,50.07542325107296,55.137239494865085,60.14869242828486
56,56,13640443.0,0.003641273202640182,274.62921465901786,268.6543048887979,1894.591086561831,3504.350347442408,5098.093037289037,6675.978499623181,8238.164521416273,9784.80729733818,11316.061488669096,12832.080217341789,14333.015041787306,15819.016067725497,16.663564036850754,22.42806666769083,28.13521439654217,33.78557784859314,39.379722042904675,44.91820632233302,50.401584561892264,55.83040495268239,61.205210334169855,66.52653819240571
57,57,13641974.0,0.003410765221378438,293.1893387830009,733.1117764581568,2408.5632070484994,4067.344438148749,5709.621335595946,7335.55811726898,8945.317378149557,10539.060067996184,12116.94553033033,13679.131552123421,15225.774328045329,16757.028519376247,14.610627281312793,20.20477147562433,25.743255755052672,31.22663399461192,36.655454385402045,42.03025976688951,47.35158762512536,52.619970104693294,57.83593384719126,63.00000040326845
58,58,13648709.0,0.003276706087143796,305.1845278169789,749.1063279481947,2458.4024148705753,4150.691566274211,5826.142996864553,7484.924227964803,9127.201125412,10753.137907085034,12362.89716796561,13956.639857812239,15534.525320146384,17096.711341939474,14.31744691277826,19.800825152337506,25.229645543127635,30.604450924615097,35.92577878285095,41.19416126241888,46.41012500491684,51.574191560994045,56.68687745759521,61.74869370138734
59,59,13663841.0,0.003334216789770575,299.92050998843695,971.6966298835403,2663.985781287176,4339.437211877518,5998.218442977768,7640.495340424965,9266.432122097998,10876.191382978575,12469.934072825205,14047.81953515935,15610.00555695244,17156.64833287435,13.69327956750252,19.231763846930864,24.715142086490108,30.143962477280237,35.5187678587677,40.84009571700355,46.10847819657148,51.324441939069445,56.48850849514665,61.60119439174782
60,60,13666752.0,0.0035280135587820063,283.4456226821404,1232.02600524492,2874.3029026921176,4500.23968436515,6109.998945245728,7703.741635092357,9281.6270974265,10843.813119219592,12390.4558951415,13921.710086472416,15437.728815145108,16938.663639590628,13.088720365933638,18.79586809478498,24.446231546835946,30.040375741147482,35.578860020575824,41.062238260135075,46.491058650925204,51.86586403241267,57.18719189064851,62.455574370216446
61,61,13673287.0,0.0035294249759004457,283.33227277196187,1198.360368873164,2840.6372663203615,4466.574047993395,6076.333308873972,7670.0759987206,9247.961461054745,10810.147482847837,12356.790258769744,13888.04445010066,15404.063178773353,16904.998003218872,13.20752036594003,18.914668094791374,24.56503154684234,30.159175741153877,35.69766002058222,41.18103826014146,46.6098586509316,51.98466403241906,57.30599189065491,62.57437437022284
62,62,13677179.0,0.0035407366592898524,282.4271037995141,931.2694893171383,2573.546386764336,4199.483168437369,5809.242429317946,7402.985119164575,8980.870581498719,10543.05660329181,12089.699379213718,13620.953570544634,15136.972299217327,16637.907123662844,14.1517439775938,19.858891706445142,25.50925515849611,31.103399352807646,36.64188363223599,42.12526187179523,47.55408226258536,52.92888764407282,58.25021550230868,63.51859798187661
63,63,13688692.0,0.003854458601763436,259.43980810754965,507.2546038919338,2085.1400662260785,3647.326088019169,5193.968863941077,6725.223055271994,8241.241783944686,9742.176608390204,11228.177634328395,12699.39344376542,14155.971127638351,15598.056341506248,16.219254827034558,22.15930373810253,28.04025113608592,33.862685070639714,39.627187701479784,45.33433543033112,50.98469888238209,56.57884307669363,62.117327356121976,67.60070559568122
64,64,13690797.0,0.0038842509969317213,257.4498920872848,1468.325925319486,3030.5119471125768,4577.154723034485,6108.408914365402,7624.427643038093,9125.362467483612,10611.3634934218,12082.579302858829,13539.15698673176,14981.242200599654,16408.979150027342,12.606278802620126,18.606023195485395,24.546072106553368,30.42701950453676,36.24945343909055,42.01395606993062,47.72110379878196,53.37146725083293,58.96561144514447,64.5040957245728
65,65,13694162.0,0.003876103035583086,257.99107784800384,60.149635976207044,1638.0350983103517,3200.2211201034424,4746.86389602535,6278.118087356267,7794.1368160289585,9295.071640474478,10781.072666412667,12252.288475849695,13708.866159722626,15150.95137359052,17.947481171864432,23.887530082932404,29.768477480915795,35.590911415469584,41.355414046309654,47.062561775161,52.71292522721197,58.30706942152351,63.84555370095185,69.3289319405111
66,66,13695028.0,0.003736809253506184,267.60798642898806,1393.572752972028,2987.315442818657,4565.200905152802,6127.386926945893,7674.029702867801,9205.283894198717,10721.302622871408,12222.237447316928,13708.238473255116,15179.454282692144,16636.031966565075,12.74662157199391,18.6275689699773,24.45000290453109,30.21450553537116,35.921653264222506,41.572016716273474,47.166160910585006,52.70464519001335,58.188023429572596,63.616843820362725
67,67,13698910.0,0.003753286613978217,266.4331565502457,1044.3051437287863,2638.047833575415,4215.93329590956,5778.119317702651,7324.7620936245585,8856.016284955476,10372.035013628167,11872.969838073686,13358.970864011875,14830.186673448903,16286.764357321834,14.054692644954518,19.93564004293791,25.758073977491698,31.52257660833177,37.229724337183114,42.88008778923408,48.474231983545614,54.01271626297396,59.496094502533204,64.92491489332333
68,68,13701978.0,0.0036021609937086814,277.61113446804296,1150.7276719952924,2776.664453668325,4386.423714548902,5980.166404395531,7558.051866729676,9120.237888522766,10666.880664444674,12198.134855775592,13714.153584448282,15215.088408893802,16701.089434831993,13.468862943833901,19.23336557467397,24.940513303525318,30.590876755576286,36.18502094988782,41.72350522931616,47.20688346887541,52.63570385966554,58.010509241153,63.33183709938885
69,69,13705441.0,0.0034227232160476567,292.1650209141762,436.9638476280672,2112.4152782184096,3771.196509318659,5413.473406765856,7039.41018843889,8649.169449319466,10242.912139166096,11820.79760150024,13382.98362329333,14929.62639921524,16460.880590546156,15.622501588329024,21.21664578264056,26.755130062068904,32.23850830162815,37.66732869241828,43.04213407390574,48.36346193214159,53.63184441170952,58.847808154207485,64.01187471028469
70,70,13713021.0,0.0034446977895524677,290.30122846565274,1574.0473645303132,3232.8285956305626,4875.10549307776,6501.042274750794,8110.80153563137,9704.544225478,11282.429687812144,12844.615709605234,14391.258485527143,15922.51267685806,17438.53140553075,11.82074804913433,17.471111501185298,23.065255695496834,28.603739974925176,34.08711821448442,39.51593860527455,44.89074398676201,50.212071844997865,55.4804543245658,60.69641806706376
71,71,13713574.0,0.0035347228208668906,282.907614168952,1075.7948791552317,2718.0717766024295,4344.008558275463,5953.767819156039,7547.510509002668,9125.395971336813,10687.581993129903,12234.224769051812,13765.478960382728,15281.49768905542,16782.43251350094,13.64043875329464,19.347586482145985,24.997949934196953,30.59209412850849,36.13057840793683,41.613956647496074,47.042777038286204,52.417582419773666,57.73891027800952,63.00729275757745
72,72,13718509.0,0.0037103731886655475,269.5146685122675,360.0536417330904,1969.8129026136671,3563.5555924602963,5141.441054794441,6703.6270765875315,8250.26985250944,9781.524043840356,11297.542772513048,12798.477596958566,14284.478622896757,15755.694432333783,16.48176218867736,22.30419612323115,28.06869875407122,33.77584648292257,39.426209934973535,45.02035412928507,50.55883840871341,56.04221664827266,61.471037039062786,66.84584242055026
73,73,13720691.0,0.003493609600801419,286.23690516839787,386.13488024601884,2044.9161113462683,3687.193008793466,5313.129790466499,6922.889051347076,8516.631741193705,10094.51720352785,11656.70322532094,13203.346001242848,14734.600192573766,16250.618921246456,15.94185674726462,21.592220199315587,27.186364393627123,32.72484867305547,38.20822691261471,43.63704730340484,49.011852684892304,54.33318054312815,59.601563022696084,64.81752676519405
74,74,13725809.0,0.0036234754938129386,275.97813251600394,663.5182018678968,2289.45498354093,3899.2142444215065,5492.956934268135,7070.84239660228,8633.028418395372,10179.67119431728,11710.925385648196,13226.944114320888,14727.878938766406,16213.879964704596,15.229195968015183,20.993698598855257,26.7008463277066,32.35120977975757,37.9453539740691,43.483838253497446,48.96721649305669,54.39603688384682,59.77084226533428,65.09217012357013
75,75,13916933.0,0.004794261334483716,208.58270549569195,295.3746717813493,1018.2586882691329,1733.9502373323712,2442.5208995380567,3144.0415156800213,3838.582228481193,4526.212491270228,5207.001055891792,5881.016003174511,6548.324721384189,7208.9939320275935,8.95675200930618,12.3477160096839,15.704941020966968,19.02876272577769,22.31951353294665,25.57752242304612,28.80311519055744,31.996614388130844,35.15833931630042,38.28860614377133
76,76,13918590.0,0.004824076595826067,207.29355766557052,69.17811479033536,792.062131278119,1507.753680341357,2216.3243425470428,2917.8449586890074,3612.385671490179,4300.015934279214,4980.804498900778,5654.819446183497,6322.128164393175,6982.79737503658,10.044663009364736,13.435627009742456,16.792852021025524,20.116673725836243,23.407424533005205,26.665433423104673,29.891026190615996,33.0845253881894,36.246250316358974,39.376517143829886
77,77,13919257.0,0.005035018485252743,198.6090027134832,676.8431451092601,1378.3637612512246,2072.9044740523964,2760.534736841432,3441.3233014629955,4115.338248745715,4782.646966955393,5443.316177598797,6097.411950611493,6097.411950611493,6097.411950611493,7.253850339178161,10.74807931871185,14.207541845979316,17.632583860752252,21.02354786112997,24.38077287241304,27.70459457722376,30.99534538439272,34.25335427449219,37.47894704200351
78,78,13922702.0,0.004880846912306589,204.8824759241261,369.47350678022127,1085.1650558434594,1793.7357180491451,2495.2563341911095,3189.7970469922816,3877.4273097813166,4558.21587440288,5232.2308216856,5899.539539895277,6560.208750538682,7214.304523551377,8.670334124958655,12.095376139731592,15.486340140109311,18.84356515139238,22.1673868562031,25.45813766337206,28.71614655347153,31.94173932098285,35.13523851855626,38.29696344672583
79,79,13928471.0,0.00488133499699782,204.86198972515356,366.45275603975233,1082.1443051029905,1790.7149673086763,2492.2355834506407,3186.7762962518123,3874.4065590408477,4555.195123662411,5229.210070945131,5896.5187891548085,6557.187999798213,7211.283772810909,8.685079341524055,12.110121356296991,15.50108535667471,18.858310367957777,22.1821320727685,25.47288287993746,28.73089177003693,31.95648453754825,35.14998373512165,38.31170866329123
80,80,13931771.0,0.004704034747127074,212.58346371925433,264.44414221546816,994.5928964792519,1717.4769129670356,2433.1684620302735,3141.7391242359595,3843.2597403779237,4537.800453179096,5225.430715968131,5906.219280589695,6580.234227872414,7247.5429460820915,9.0270246054309,12.384249616713968,15.708071321524688,18.99882212869365,22.256831018793118,25.482423786304437,28.675922983877843,31.83764791204742,34.96791473951833,38.06703643215619
81,81,13937942.0,0.004392611926634207,227.65498448351195,595.416513680733,1347.8004811505318,2092.698469393088,2830.184967077371,3560.3337213411546,4283.217737828938,4998.909286892176,5707.479949097862,6409.000565239827,7103.541278040999,7791.171540830033,7.335735684048975,10.593744574148445,13.819337341659766,17.01283653923317,20.174561467402746,23.304828294873655,26.40394998751152,29.472236408275318,32.509994389128,35.51752768736594
82,82,13943490.0,0.004154644258175117,240.69449460860443,444.98357015871443,1220.279878505041,1987.8622351424626,2747.8074045648837,3500.1913720346824,4245.089360277239,4982.575857961522,5712.7246122253055,6435.608628713089,7151.3001777763275,7859.8708399820125,7.8177751098187,10.979500037988277,14.109766865459186,17.208888558097048,20.277174978860845,23.314932959713534,26.32246625795147,29.300075603847965,32.248058715544666,35.16671036653022
83,83,13947432.0,0.004385151202800864,228.04230772277236,657.9274535923192,1410.311421062118,2155.2094093046744,2892.695906988957,3622.844661252741,4345.728677740524,5061.4202268037625,5769.990889009448,6471.511505151413,7166.052217952584,7853.68248074162,7.061370825018655,10.319379715118126,13.544972482629445,16.73847168020285,19.900196608372426,23.030463435843338,26.1295851284812,29.197871549244997,32.23562953009769,35.24316282833562
84,84,13947986.0,0.004723832248859189,211.69252998802003,108.24755209823265,838.3963063620163,1561.2803228497999,2276.9718719130383,2985.542534118724,3687.0631502606884,4381.6038630618605,5069.234125850895,5750.022690472459,6424.037637755178,7091.346355964856,9.7633444326006,13.120569443883669,16.44439114869439,19.73514195586335,22.99315084596282,26.218743613474143,29.412242811047545,32.573967739217125,35.70423456668803,38.803356259325895
