,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
879,879,13661806.0,0.004997412189338949,200.10356602829648,1041.8208573307866,2125.742253135119,3198.8789885009987,4261.338367474015,5313.226625006886,6354.648945775759,7385.709451569509,8406.51124153552,9417.156390566084,10421.103252042307,11415.061181196255,11.1395910149984,16.494331263873647,21.79579360905265,27.044508129488253,32.24090190625144,37.385593244985536,42.47909657991266,47.41426538373953,52.296654588457685,57.130267330262875
880,880,13664354.0,0.005084106780630088,196.69138417979238,102.92663697633864,1186.8480327806708,2259.984768146551,3322.4441471195673,4374.332404652438,5415.754725421311,6446.8152312150605,7467.617021181072,8478.262170211636,9482.209031687858,10476.166960841807,15.872332709217346,21.227072958092595,26.5285353032716,31.7772498237072,36.97364360047039,42.11833493920448,47.21183827413161,52.14700707795848,57.029396282676636,61.863009024481826
881,881,13665234.0,0.005161455438405472,193.7438019050165,363.1851248334602,1436.3218601993399,2498.7812391723564,3550.669496705227,4592.091817474101,5623.15232326785,6643.954113233861,7654.599262264425,8658.546123740647,9652.504052894596,10636.57242968813,14.683288409975908,20.09184201139569,25.44658226027094,30.74804460544994,35.996759125885546,41.193152902648734,46.337844241382825,51.431347576309946,56.36651638013682,61.248905584854974
882,882,13669113.0,0.005152173638824172,194.09283733461666,463.0450039521748,1536.1817393180545,2598.641118291071,3650.529375823942,4691.951696592815,5723.012202386564,6743.813992352576,7754.4591413831395,8758.406002859363,9752.36393201331,10736.432308806845,14.168301931681984,19.576855533101767,24.931595781977013,30.233058127156017,35.48177264759162,40.67816642435481,45.822857763088905,50.916361098016026,55.8515299018429,60.73391910656105
883,883,13670413.0,0.005146509646783061,194.306446238777,522.4450039489776,1595.5817393148575,2658.041118287874,3709.9293758207446,4751.351696589618,5782.412202383367,6803.213992349379,7813.859141379943,8817.806002856165,9811.763932010113,10795.832308803649,13.862420874881343,19.270974476301124,24.625714725176373,29.927177070355377,35.175891590790975,40.37228536755416,45.51697670628826,50.61048004121538,55.54564884504226,60.42803804976041
884,884,13671958.0,0.005126478347131617,195.06568296724066,730.5206589656773,1803.657394331557,2866.1167733045736,3918.0050308374443,4959.427351606318,5990.487857400067,7011.2896473660785,8021.934796396642,9025.881657872866,10019.839587026812,11003.907963820348,12.79357196856929,18.20212556998907,23.55686581886432,28.858328164043325,34.10704268447893,39.303436461242114,44.448127799976206,49.541631134903334,54.4767999387302,59.35918914344836
885,885,13672663.0,0.005105503861690609,195.8670538873837,954.2606589536348,2027.3973943195147,3089.856773292531,4141.745030825402,5183.167351594276,6214.227857388025,7235.029647354036,8245.6747963846,9249.621657860822,10243.57958701477,11227.647963808306,11.648819066187832,17.057372667607613,22.41211291648286,27.713575261661866,32.962289782097464,38.15868355886065,43.30337489759475,48.39687823252187,53.33204703634875,58.2144362410669
886,886,13674231.0,0.005091738281427114,196.39658299949377,18.839263141309836,1102.760658945642,2175.8973943115216,3238.356773284538,4290.245030817408,5331.667351586282,6362.727857380032,7383.529647346043,8394.174796376607,9398.12165785283,10392.079587006778,16.30017661202814,21.654916860903388,26.95637920608239,32.205093726517994,37.40148750328118,42.54617884201527,47.639682176942394,52.57485098076927,57.45724018548742,62.29085292729262
887,887,13676950.0,0.005089193175868968,196.49480093261585,45.11450628071689,1129.035902085049,2202.172637450929,3264.6320164239455,4316.520273956816,5357.94259472569,6389.003100519439,7409.80489048545,8420.450039516014,9424.396900992237,10418.354830146185,16.166414962712587,21.521155211587836,26.82261755676684,32.07133207720244,37.26772585396563,42.41241719269972,47.50592052762685,52.44108933145372,57.323478536171876,62.15709127797707
888,888,13677535.0,0.0050800413248741,196.84879237173985,144.11450627538835,1228.0359020797205,2301.1726374456002,3363.632016418617,4415.520273951487,5456.942594720361,6488.00310051411,7508.804890480122,8519.450039510686,9523.396900986909,10517.354830140855,15.663005904815742,21.01774615369099,26.319208498869994,31.567923019305596,36.76431679606878,41.90900813480288,47.00251146973,51.93768027355688,56.82006947827503,61.65368222008022
889,889,13678059.0,0.005004413115868673,199.82363103259084,964.7354093100271,2048.656805114359,3121.793540480239,4184.252919453255,5236.141176986126,6277.563497755,7308.624003548749,8329.42579351476,9340.070942545324,10344.017804021547,11337.975733175495,11.525113439506033,16.879853688381278,22.181316033560282,27.430030553995884,32.62642433075907,37.77111566949317,42.86461900442029,47.79978780824717,52.68217701296532,57.51578975477051
890,890,13678576.0,0.004997911930557882,200.08355767252925,1037.1701884212887,2121.091584225621,3194.2283195915006,4256.687698564518,5308.5759560973875,6349.998276866261,7381.05878266001,8401.860572626021,9412.505721656586,10416.452583132808,11410.410512286757,11.162834782966533,16.51757503184178,21.819037377020784,27.067751897456386,32.26414567421957,37.40883701295367,42.50234034788079,47.437509151707665,52.31989835642582,57.153511098231014
891,891,13679444.0,0.004942744611470581,202.31674476551132,552.4167597557915,1647.231202373109,2731.152598177441,3804.289333543321,4866.748712516337,5918.636970049208,6960.0592908180815,7991.119796611831,9011.921586577842,10022.566735608407,11026.51359708463,13.481817055989326,18.78327940116833,24.03199392160393,29.22838769836712,34.37307903710121,39.466582372028334,44.40175117585521,49.28414038057336,54.11775312237856,58.90327304277721
892,892,13680928.0,0.004932376256778195,202.74203506388528,670.6234999063962,1765.4379425237137,2849.359338328046,3922.4960736939256,4984.955452666942,6036.843710199812,7078.266030968686,8109.326536762435,9130.128326728447,10140.773475759011,11144.720337235234,12.898130243456997,18.199592588636,23.448307109071603,28.644700885834787,33.789392224568886,38.882895559496006,43.81806436332288,48.700453568041034,53.534066309846224,58.31958623024488
893,893,13681638.0,0.004904343084187694,203.90090636687785,983.6834866363421,2078.4979292536595,3162.4193250579915,4235.556060423872,5298.015439396888,6349.903696929759,7391.326017698632,8422.386523492381,9443.188313458393,10453.833462488958,11457.78032396518,11.358296617209414,16.659758962388416,21.908473482824018,27.104867259587206,32.2495585983213,37.34306193324842,42.2782307370753,47.16061994179345,51.994232683598646,56.7797526039973
894,894,13682654.0,0.004899931381557339,204.08449060406457,1033.1834866336778,2127.997929250995,3211.9193250553276,4285.056060421207,5347.515439394224,6399.403696927095,7440.8260176959675,8471.886523489717,9492.688313455728,10503.333462486293,11507.280323962515,11.115618524786086,16.41708086996509,21.665795390400692,26.862189167163876,32.006880505897975,37.100383840825096,42.03555264465197,46.91794184937012,51.751554591175314,56.53707451157397
895,895,13683702.0,0.004858946385132363,205.8059341959088,397.67548712665547,1502.802677967665,2597.6171205849823,3681.5385163893147,4754.675251755194,5817.134630728211,6869.022888261082,7910.445209029955,8941.505714823705,9962.307504789716,10972.952653820279,14.12545375474485,19.374168275180452,24.57056205194364,29.715253390677734,34.80875672560486,39.743925529431735,44.62631473414989,49.45992747595508,54.24544739635373,54.266413801736654
896,896,13684837.0,0.004830364430208334,207.0237172471208,727.3069506263134,1832.434141467323,2927.2485840846402,4011.1699798889726,5084.306715254852,6146.766094227869,7198.65435176074,8240.076672529613,9271.137178323363,10291.938968289374,11302.584117319937,12.528431917062239,17.77714643749784,22.97354021426103,28.118231552995123,33.21173488792225,38.146903691749124,43.029292896467275,47.862905638272466,52.64842555867112,52.66939196405404
897,897,13686286.0,0.00477465870587309,209.43905346992562,261.0261957195244,1377.259548365424,2482.3867392064335,3577.201181823751,4661.1225776280835,5734.259312993963,6796.718691966979,7848.60694949985,8890.029270268724,9921.089776062474,10941.891566028484,14.655641634327328,19.852035411090515,24.99672674982461,30.09023008475173,35.02539888857861,39.90778809329676,44.741400835101956,49.526920755500605,49.547887160883526,49.5686449576718
898,898,13687210.0,0.00473945839321535,210.9945730152467,679.6129861028385,1795.8463387487382,2900.9735295897476,3995.787972207065,5079.709368011398,6152.846103377277,7215.3054823502935,8267.193739883163,9308.616060652037,10339.676566445787,11360.478356411799,12.664341579461206,17.860735356224392,23.00542669495849,28.09893002988561,33.034098833712484,37.91648803843064,42.75010078023583,47.53562070063449,47.5565871060174,47.577344902805685
899,899,13688152.0,0.004731881701584059,211.33241764375404,768.930786098031,1885.1641387439308,2990.2913295849403,4085.105772202258,5169.02716800659,6242.16390337247,7304.623282345487,8356.511539878356,9397.93386064723,10428.99436644098,11449.79615640699,12.241349710750697,17.43774348751388,22.58243482624798,27.6759381611751,32.61110696500197,37.49349616972013,42.32710891152532,47.11262883192398,47.13359523730689,47.15435303409517
