,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
3643,3643,16675806.0,1687.8842298635202,0.0005924576948508242,0.1073792429686335,2.8977208512195514,5.6607888188360995,8.398542036723697,11.323980103185722,14.220311114208391,17.087824518892464,19.92680714566102,22.738840307136773,25.525716502148843,28.090062736991687,13819.076336815226,18393.315385714533,22922.042273970677,27405.709896160904,31844.76627180344,33069.02747712235,34276.635686173744,35472.22861315627,36624.73779337184,37767.32105941496
3644,3644,16676751.0,1684.3435690059277,0.0005937031009594936,0.4039983282631579,3.194339936514076,5.9574079041306245,8.695161122018222,11.620599188480245,14.516930199502916,17.38444360418699,20.223426230955543,23.0354593924313,25.82233558744337,28.38668182228621,13318.92926063056,17893.16830952987,22421.895197786012,26905.56281997624,31344.619195618772,32568.88040093768,33776.48860998908,34972.08153697161,36124.59071718717,37267.17398323029
3645,3645,16677323.0,1681.3146288900764,0.0005947726753916084,0.650655579415853,3.440997187666771,6.2040651552833195,8.941818373170918,11.867256439632941,14.76358745065561,17.631100855339685,20.47008348210824,23.282116643583993,26.068992838596063,28.633339073438904,12903.829622608302,17478.068671507608,22006.795559763752,26490.463181953983,30929.519557596515,32153.78076291542,33361.38897196682,34556.98189894935,35709.491079164916,36852.07434520803
3646,3646,16678105.0,1680.1381792767543,0.0005951891411874635,0.7493585794105986,3.5397001876615164,6.3027681552780646,9.040521373165662,11.965959439627687,14.862290450650356,17.72980385533443,20.568786482102983,23.38081964357874,26.16769583859081,28.73204207343365,12737.92629489305,17312.16534379236,21840.8922320485,26324.55985423873,30763.616229881263,31987.877435200167,33195.48564425157,34391.078571234095,35543.58775144966,36686.17101749278
3647,3647,16679517.0,1669.4201650489945,0.0005990103755399719,1.6530503175702789,4.443391925821197,7.206459893437745,9.944213111325343,12.869651177787366,15.765982188810035,18.63349559349411,21.472478220262666,24.28451138173842,27.07138757675049,29.63573381159333,11224.368153639787,15798.607202539097,20327.33409079524,24811.001712985468,29250.058088628,30474.319293946908,31681.927502998307,32877.52042998083,34030.0296101964,35172.61287623952
3648,3648,16681613.0,1667.0847287746215,0.0005998495353832691,1.8487735873778566,4.639115195628774,7.402183163245323,10.139936381132921,13.065374447594944,15.961705458617613,18.829218863301687,21.668201490070242,24.480234651545995,27.267110846558065,29.83145708140091,10897.835538096486,15472.074586995794,20000.801475251938,24484.469097442165,28923.5254730847,30147.786678403605,31355.394887455004,32550.987814437533,33703.4969946531,34846.08026069622
3649,3649,16682850.0,1646.8708610593603,0.0006072121522368449,0.7563945488155722,3.574778145668151,6.3651197539190685,9.128187721535618,11.865940939423215,14.791379005885238,17.687710016907907,20.555223421591982,23.394206048360537,26.20623920983629,28.99311540484836,12611.994400054313,17140.721288310455,21624.388910500686,26063.44528614322,27287.706491462122,28495.314700513525,29690.90762749605,30843.416807711616,31986.000073754734,33117.21495526015
3650,3650,16684799.0,1633.5857486671596,0.0006121502962522161,1.9128073079187082,4.731190904771287,7.521532513022205,10.284600480638753,13.02235369852635,15.947791764988375,18.844122776011044,21.71163618069512,24.55061880746367,27.362651968939428,30.149528163951498,10715.12894564912,15243.855833905263,19727.523456095492,24166.579831738025,25390.841037056933,26598.449246108332,27794.042173090857,28946.551353306422,30089.13461934954,31220.349500854958
3651,3651,16687111.0,1621.2181716646814,0.000616820127899992,0.15645007847602801,3.0031547290477993,5.821538325900378,8.611879934151295,11.374947901767845,14.112701119655442,17.038139186117466,19.934470197140136,22.80198360182421,25.640966228592763,28.45299939006852,13469.394440837765,17953.062063027992,22392.118438670528,23616.379643989432,24823.98785304083,26019.58078002336,27172.089960238925,28314.67322628204,29445.888107787458,30591.872216383657
3652,3652,16688170.0,1632.9324776936016,0.0006123951931021834,1.9706115513813813,4.78899514823396,7.579336756484878,10.342404724101426,13.080157941989023,16.005596008451047,18.901927019473717,21.769440424157793,24.608423050926344,27.4204562124021,30.20733240741417,10620.716189672086,15149.44307792823,19633.110700118457,24072.167075760994,25296.428281079898,26504.0364901313,27699.629417113825,28852.13859732939,29994.72186337251,31125.936744877923
