,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
259,259,15881764.0,7863.241096934912,0.0001271740224765332,0.002005636357129585,0.022271319790782083,0.042335366229025014,0.062199782035035504,0.08186655349046816,0.10133764695489156,0.12061500951372513,0.1397005685460764,0.15859623266320455,0.17730389107963368,0.19582541440749127,458.481792936265,613.4359411413686,766.8483472762985,918.7343498126829,1069.1091362066422,1217.9877427535148,1365.385057051563,1511.3158153744496,1655.7946116359776,1798.835891204807
260,260,15888918.0,8122.169147206088,0.00012311981957972224,0.009555514164252949,0.02941992997026344,0.0490867014256961,0.06855779489011948,0.08783515744895305,0.10692071648130434,0.1258163805984325,0.14452403901486163,0.1630455623427192,0.18138280266954598,0.19953759350651853,405.8621339311691,563.9464064977782,720.457790950366,875.4119391554696,1028.8243452903994,1180.7103478267838,1331.0851342207432,1479.9637407676157,1627.361055065664,1773.2918133885507
261,261,15889470.0,8131.10800180147,0.00012298446900206554,0.008466811706764181,0.028331227512774674,0.04799799896820733,0.06746909243263072,0.08674645499146429,0.10583201402381558,0.12472767814094372,0.14343533655737287,0.16195685988523043,0.18029410021205722,0.19844889104902977,414.71000376657076,572.7942763331798,729.3056607857676,884.2598089908712,1037.672215125801,1189.5582176621856,1339.933004056145,1488.8116106030172,1636.2089249010655,1782.1396832239523
262,262,15900238.0,8435.891154066969,0.00011854112170685097,0.01142926622498664,0.03090035968941003,0.0501777222482436,0.06926328128059488,0.08815894539772304,0.10686660381415217,0.12538812714200973,0.14372536746883655,0.1618801583058091,0.17985431460861212,0.19764963481215428,396.6386421547029,557.916267201972,717.5892317968676,875.6735043634767,1032.1848888160644,1187.139037021168,1340.5514431560978,1492.4374456924825,1642.8122320864416,1791.6908386333141
263,263,15907895.0,8326.107124373326,0.00012010414772020678,0.004657809068860582,0.02432458052429324,0.04379567398871663,0.0630730365475502,0.08215859557990147,0.10105425969702964,0.11976191811345877,0.13828344144131632,0.15662068176814314,0.1747754726051157,0.19274962890791872,449.8351228176087,609.5080874125043,767.5923599791133,924.1037444317011,1079.0578926368048,1232.4702987717344,1384.356301308119,1534.7310877020784,1683.6096942489507,1831.007008546999
264,264,15913911.0,8037.336762088007,0.00012441932316647282,3.540940116872558e-05,0.02009945583941166,0.03996387164542215,0.05963064310085481,0.07910173656527819,0.09837909912411176,0.11746465815646305,0.1363603222735912,0.15506798069002034,0.1735895040178779,0.1919267443447047,478.7502414650597,635.2616259176474,790.215774122751,943.6281802576808,1095.5141827940654,1245.8889691880247,1394.767575734897,1542.1648900329456,1688.095648355832,1832.5744446173599
265,265,15914830.0,7802.92965304304,0.0001281569928815151,0.009849702815897154,0.030115386249549653,0.05017943268779258,0.07004384849380307,0.08971061994923574,0.10918171341365912,0.1284590759724927,0.14754463500484397,0.16644029912197214,0.18514795753840127,0.20366948086625883,397.0364664340988,551.9906146392025,705.4030207741323,857.2890233105169,1007.6638097044761,1156.5424162513486,1303.939730549397,1449.8704888722837,1594.3492851338115,1737.3905647026409
266,266,15921202.0,7900.283459369587,0.00012657773675373875,0.017480701879192654,0.03754474831743559,0.05740916412344608,0.07707593557887873,0.09654702904330213,0.11582439160213569,0.13490995063448696,0.15380561475161514,0.17251327316804427,0.19103479649590183,0.20937203682272862,339.7301020823415,496.2414865349292,651.1956347400328,804.6080408749626,956.4940434113472,1106.8688298053064,1255.747436352179,1403.1447506502273,1549.075508973114,1693.5543052346418
267,267,15922733.0,7733.79514070087,0.00012930262333136686,0.019028381444366006,0.0392940648780185,0.05935811131626144,0.07922252712227193,0.09888929857770458,0.11836039204212798,0.13763775460096153,0.15672331363331282,0.17561897775044097,0.1943266361668701,0.21284815949472768,325.73199607426227,480.6861442793659,634.0985504142957,785.9845529506803,936.3593393446396,1085.237945891512,1232.6352601895603,1378.566018512447,1523.0448147739748,1666.0860943428042
268,268,15924055.0,7467.807543867827,0.00013390811079767954,0.014091983458422429,0.03476704023119373,0.05523638679404492,0.07550207022769741,0.09556611666594035,0.11543053247195084,0.1350973039273835,0.1545683973918069,0.17384575995064044,0.19293131898299173,0.21182698310011988,358.9193737212377,510.80537625762224,661.1801626515816,810.058769198454,957.4560834965023,1103.386841819389,1247.8656380809168,1390.9069176497462,1532.5249839185142,1672.7339962751475
