block,reserve USDC,reserve DAI,price,volume for slippage 5%
11683712,22139028.397709,21330435.074738923,0.9996454165549321,20495360
11683841,22243192.901551,21325152.410142887,0.9995991567303719,20487168
11683896,22539673.673264,21418866.676366586,0.9995098695500559,20544512
11683979,22330019.548136,21499688.67902888,0.9996387430113317,20657152
11684108,22658708.093239,21524971.873665504,0.999513859873539,20673536
11684265,22562498.785056,21659720.3527983,0.9996151703576923,20827136
11684465,22622018.977109,21659722.502222694,0.9995905553799573,20825088
11684523,22820046.298369,21578947.275768057,0.9994730564453221,20728832
11684766,22926001.284473,21644237.24806441,0.9994580830880949,20788224
11684925,22601500.226943,21828740.04130154,0.9996693730201082,20982784
11685024,22897990.833433,21943338.35798246,0.9995982375101446,21095424
11685217,23147838.442279,21976033.73409815,0.9995112213585226,21117952
11685381,22858263.013971,22261796.1637923,0.9997515722637663,21433344
11685548,22885542.019838,22146468.88786247,0.999690668073692,21308416
11685708,22960637.517614,22224892.314227656,0.999692849115372,21382144
11685868,22831241.432591,22530977.985059813,0.9998757149830405,21713920
11686097,22590134.306993,22264162.54666035,0.9998640347438734,21462016
11686207,22606125.286527,22209707.088909272,0.9998343794118176,21404672
11686379,22693695.152411,22007786.111827776,0.9997115436239348,21181440
11686534,22433028.692348,22116565.31834735,0.999866142904202,21306368
11686727,22379835.535507,22088577.352037977,0.9998764206668087,21279744
11686866,22417678.849583,22332795.445435945,0.9999644169203623,21539840
11687060,22008421.626575,22250285.524049386,1.00010301487652,21472256
11687345,21900452.04092,22308816.357590362,1.000174458837853,21535744
11687519,21662416.050795,22340518.749255154,1.000291746864125,21580800
11687594,21571771.409425,21867860.63506352,1.000130590443723,21076992
11687661,21044946.962741,22335868.789821178,1.000570872722812,21593088
11687758,21413792.645336,22302671.402104534,1.0003868722796534,21550080
11687935,22807118.988687,22241232.575066164,0.9997626057695215,21404672
11688029,22544530.036704,22288547.817905154,0.9998915154814013,21462016
11688103,22414205.68813,22308418.83137331,0.9999548881232347,21482496
11688261,22244404.35816,22337691.40872891,1.000040007237397,21519360
11688368,22526406.013073,22400977.138613265,0.9999465792232656,21564416
11688438,22751572.365139,22183943.12489789,0.9997578642526594,21322752
11688552,22348804.252577,22581193.211423054,1.0000991123246503,21758976
11688680,22426524.986949,22467713.379397172,1.0000175205801036,21644288
11688872,22595067.168525,22369608.176729694,0.9999041151947933,21529600
11688947,22170325.192584,22431489.674583532,1.0001100351786347,21654528
11689067,22013867.031655,22410304.518527485,1.0001686649733117,21632000
11689159,21849894.986585,22207671.836458664,1.000154734978327,21419008
11689337,21800690.732651,22236677.524995614,1.000188834964835,21449728
11689481,21557986.138899,22188430.96134946,1.000275121959353,21414912
11689637,21729229.682569,22088903.380298767,1.0001562804839164,21306368
11689842,21508074.442694,21820130.06177023,1.0001373836195164,21040128
11689964,21499802.692386,21953727.390238754,1.0001987306871487,21183488
11690064,21525912.882499,21932973.428505875,1.00017799644969,21163008
11690270,21579232.636366,21884135.87161791,1.0001336796523268,21103616
11690634,21661818.045191,21821185.430011235,1.0000697674926864,21033984
11690767,21649780.351014,21917551.581673503,1.0001172032359926,21132288
11690908,21799443.038177,22097651.763461772,1.0001286771960296,21320704
11691119,21833822.369947,22065092.20373777,1.0000997840470225,21283840
11691330,21830977.570439,22106222.46892519,1.0001184745744192,21328896
11691486,21468746.700332,22195999.819207128,1.0003158208665042,21441536
11691601,21674940.17549,21996336.665347602,1.000139357585699,21224448
11691649,21567268.189683,21958281.227235023,1.0001705182845353,21187584
11691726,21650364.89367,21423958.90701146,0.9998990968356275,20610048
11691809,21877818.322507,21647753.9059934,0.9998989096500276,20833280
11691942,21936118.486915,21904153.253147658,0.9999861309749437,21103616
11692016,21824952.303618,21809737.44656916,0.9999933791370633,21017600
11692119,21600098.981211,21831036.31960194,1.0001012023906846,21050368
11692234,21725005.463481,21649080.877127104,0.9999666411812184,20851712
11692304,21647356.193788,21742002.62817279,1.0000416606909532,20947968
11692597,21877484.732432,21712352.46457797,0.9999279853890998,20911104
11692658,21858933.356986,21706125.606553465,0.9999331992310613,20902912
11692798,21846501.081859,21626887.666623846,0.999903719995001,20820992
11692971,21882085.198241,21665842.27632336,0.99990540715312,20857856
11693119,22017870.640579,22045427.59155704,1.0000118917651208,21244928
11693232,22023663.016211,21986245.32551556,0.9999838265066908,21181440
11693313,22036777.491979,22017461.760762326,0.9999916806319741,21218304
11693407,22115263.317701,21879499.468959168,0.9998978104342432,21060608
11693554,22162409.571529,21877658.029856954,0.999876727686848,21056512
11693727,21788369.960721,22097898.81452117,1.0001345869377847,21306368
11693841,21838899.424694,22016878.5580092,1.00007756897475,21216256
11693956,21856253.625006,22017375.122469395,1.0000701949438588,21216256
11694161,21835788.179121,22115901.232926253,1.0001216887925386,21320704
11694241,22690574.376871,22024926.03078564,0.9997170253503308,21179392
11694346,22540029.14959,22148121.11343832,0.9998325926608779,21308416
11694414,22553445.680854,22227044.796424735,0.9998602119186354,21380096
11694661,22471865.694866,22380699.728798866,0.9999611302020596,21548032
11694772,22380632.837172,22529481.436218034,1.0000632517019132,21711872
11694888,22264380.093598,22528385.825242724,1.0001125211639357,21718016
11695050,22482664.249205,22574562.10778991,1.0000388622145033,21754880
11695146,22560971.567175,21486027.64848894,0.9995307646308311,20612096
11695294,22551621.829801,21650115.696785644,0.9996097066857025,20790272
11695395,22443088.388515,21678773.486124896,0.999667435543227,20820992
11695491,22289307.39354,21853663.0812597,0.9998108323614504,21013504
11695615,22400616.81233,21875055.28240569,0.999773462511137,21036032
11695723,21716308.085926,21805453.159391847,1.0000390594908906,21011456
11695921,21734631.905114,22869866.730681647,1.000485405227821,22107136
11695975,21844477.661127,22729624.12865448,1.000378463887769,21957632
11696086,21564410.719354,22362680.73537107,1.000348880694558,21584896
11696165,21671109.945131,22300426.48437884,1.000274486209516,21515264
11696274,21826812.320885,22238802.081736296,1.0001788475260152,21445632
11696415,22146575.768064,21647203.924509786,0.9997805689810049,20802560
11696557,22104312.140441,21556227.503341056,0.9997579440636339,20708352
11696646,19873698.672739,20616253.137470946,1.0003612716866435,19853824
11696718,23200922.900456,22005153.118190598,0.9994580684753978,20974592
11696743,23300201.383986,22394403.150452595,0.9995991518047534,21394432
