block,reserve USDT,reserve USDC,price,volume for slippage 5%
11634445,22349613.601976,20454128.474132,0.9991240391097412,19511808
11634510,22034160.26426,20611998.637058,0.999338881369968,19689984
11634615,22402962.15147,20354345.327476,0.9990500853505441,19402240
11634685,22024364.20668,20190787.81531,0.9991280887533682,19235328
11634779,21932610.078604,20137136.728741,0.9991414885602533,19182080
11634839,22143135.529409,19760763.773526,0.998846855070792,18767360
11634925,22063794.922088,20057209.66456,0.9990397876546112,19087872
11635008,22456331.787472,20133228.036076,0.99891096921458,19158528
11635111,22155488.139105,20221735.612998,0.9990862624519476,19262976
11635312,22307034.448406,20102822.13289,0.9989589558884304,19130880
11635394,22207487.464924,20127503.737349,0.9990142406326914,19159552
11635460,21848886.696166,19904190.38999,0.9990496585117689,18921984
11635556,21566161.703319,20124257.823118,0.9992958223983963,19170816
11635649,21713883.731677,19819630.349482,0.9990748256285577,18855424
11635798,21679786.958286,19959070.300814,0.9991652836456585,19009024
11635883,21655351.184811,19931546.872351,0.999163420584426,18983424
11635965,21781783.106128,21271617.109327,0.9997700831683588,20425216
11636014,22443459.552787,20605185.392148,0.999169224036081,19692032
11636147,22344431.342832,20489147.204496,0.9991538701129038,19572224
11636273,22333574.031883,20680719.935751,0.9992519193349014,19776000
11636309,22488708.404489,20639282.07348,0.9991672560049122,19727872
11636372,22420370.171598,20651346.896128,0.9992018607192547,19743232
11636474,22394101.926146,20760555.351499,0.9992657014171284,19859968
11636572,22256561.408605,20670052.429117,0.9992794160802403,19766784
11636641,21826648.44471,21478968.941702,0.9998450854199239,20646912
11636733,21707550.604096,21920522.010746,1.0000937969783101,21115904
11636804,21733030.304096,21522891.316336,0.9999060697199091,20694016
11636925,21943542.557307,21316214.224696,0.9997195288772821,20466176
11637085,21941588.422372,21787493.078379,0.9999324684042961,20968448
11637196,21965588.498829,21514789.647306,0.9998003794701098,20677632
11637353,22092562.003055,21428715.166133,0.9997065674051077,20581376
11637481,22212914.970711,21428692.419038,0.9996550596216219,20579328
11637599,22210001.990386,21483392.394086,0.9996811247988128,20636672
11637737,22282193.907996,21301522.229191,0.9995673710843291,20440576
11637886,22184372.611646,21431862.258765,0.9996686805413603,20583424
11637973,22137661.111633,21394018.780922,0.9996711173857128,20542464
11638068,22085978.3011,21452016.216722,0.9997197290443831,20605952
11638161,21638761.287585,21377899.080449,0.9998820401853675,20540416
11638282,21600753.257749,21257935.880352,0.9998438098509785,20411904
11638394,21841773.257749,21299266.883299,0.9997558290318568,20448768
11638532,21792341.495188,21384491.107551,0.9998167344601002,20540416
11638698,21827192.643142,21283537.995357,0.9997549876972547,20432384
11638795,21721821.580222,21377569.427333,0.9998447843177878,20536320
11638880,21505111.874938,21492600.143941,0.9999943361170935,20665344
11638965,21388900.380218,21630105.461601,1.0001091023457538,20814848
11639093,21371300.918153,21290167.236021,0.9999627174997407,20452864
11639229,21232318.897462,21238565.920325,1.0000028955321594,20400640
11639358,21576141.460132,21238565.920325,0.9998458399290175,20390400
