block,reserve DAI,reserve USDC,price,volume for slippage 5%
11207438,24584676.211950835,76226768.308277,1.0099330618958393,77473792
11207592,24108230.186668396,76565494.953896,1.010384007888874,77780992
11207764,24051206.287764274,76377682.593517,1.010402681874483,77584384
11207904,24558290.941636246,75761943.508332,1.0099318201882947,76978176
11208084,24337898.81218283,75365571.323596,1.0100654942317577,76552192
11208242,25140381.864454027,75380353.199227,1.0094854481586442,76605440
11208354,25100619.97775094,75376088.522533,1.0095210802115273,76597248
11208434,24751204.110115062,75257049.550107,1.0097907465066904,76445696
11208527,25289316.529930998,74949767.272925,1.009733943538897,76036096
11208624,25255111.440371852,74996930.080183,1.0097357872780066,76093440
11208785,25220761.68194402,75959838.60899,1.009866720516032,77092864
11209007,25211930.699005634,76229091.104049,1.0099193987937882,77367296
11209112,25165593.90236504,76219481.349703,1.009952382877791,77355008
11209278,25249606.63533744,76235270.810686,1.0098928436224648,77375488
11209367,25317984.697015744,76532264.500224,1.0098631751962224,77690880
11209454,25195004.11518255,76580953.612162,1.0099651795590934,77731840
11209587,25190358.432354737,76624749.618914,1.0099695144867957,77780992
11209777,25267432.497460324,76578873.5647,1.0099212863904419,77731840
11210010,25004614.22361589,77974737.666029,1.0102974193107426,79157248
11210159,25069478.81286488,77553634.220798,1.0102026206473913,78723072
11210271,25427419.75969692,77119003.735871,1.0098689526325129,78301184
11210314,25405184.238969035,77117936.232929,1.0098864325436396,78297088
11210492,25345700.561709583,76942720.406928,1.00989034272656,78116864
11210633,25426767.703219406,76928340.485887,1.0098279182108991,78108672
11210723,25431601.594045307,76881907.804578,1.0098056837785219,78063616
11210818,25334551.774698798,77497887.99223,1.0099445924243895,78698496
11210905,25387923.748240888,77473039.187357,1.0098602557039518,78690304
11211033,25804082.450325232,77274174.651245,1.009514125701278,78518272
11211084,26027244.1958948,77137962.470596,1.0093058918423903,78399488
11211297,25990237.421255223,77337331.16793,1.009334154508157,78612480
11211450,26106888.00605723,77125800.650609,1.0092188265437338,78403584
11211573,26000741.791707613,77166263.51364,1.0092789738732337,78444544
11211686,25930710.271580905,77017553.631766,1.0093025828392819,78288896
11211857,25897552.695817888,76893022.854301,1.0093052400657214,78157824
11211998,25867978.635758974,76992609.385175,1.009356241058335,78256128
11212065,25973777.999722503,76939666.79066,1.009270882497332,78206976
11212151,26028950.430528488,76803526.229623,1.0092164074039962,78071808
11212187,26353169.043983657,76724900.497844,1.0090306346060505,77993984
11212280,26223653.916946784,76599509.783302,1.0091117918098083,77850624
11212399,26234170.962732445,75937830.666363,1.0090068456582482,77174784
11212539,26175510.723538276,75865546.006321,1.0090421858413139,77092864
11212729,26142043.421779267,75787903.312179,1.0090597538852242,77010944
11212842,26078010.575839445,75475080.277453,1.0090786541328662,76679168
11212977,26043893.55628577,75435650.394342,1.0091003364019069,76634112
11213074,26364441.68576561,77114370.442529,1.0091683744055173,78362624
11213137,26688712.954575982,76667312.751977,1.0088932565079913,77920256
11213156,26414389.73989347,76885302.420949,1.0091070566006461,78129152
11213221,26410467.670557525,76649373.807881,1.0090832913847214,77883392
11213458,26005968.146433156,76776241.61858,1.0093869751198674,77989888
11213651,26101415.782917015,76694726.206854,1.0093090863010679,77907968
11213795,27023763.643793363,76680887.733836,1.0086525461196378,77961216
11213832,26879217.948654193,76734242.293573,1.0087514146396188,78006272
11214171,26736244.911356542,76925552.589088,1.0089350072553989,78174208
11214369,27003932.11096644,77104763.907231,1.0087784008853866,78374912
11214454,26996346.979635686,77302101.066653,1.0087954443273095,78583808
11214607,27133974.259497892,77328177.467353,1.0087039748016027,78620672
11214831,27299239.9247343,77450537.053112,1.0086111260717538,78755840
11214987,27037380.090599496,76749199.203555,1.0086209054267732,78043136
11215203,26956304.92987956,76774255.341303,1.0086735439341912,78063616
11215539,26894986.68608826,76815793.468555,1.0087164791190624,78104576
11215685,27156791.275309812,76615244.164945,1.008570841702443,77895680
11215931,27120707.221000355,76672861.084529,1.0085987767011342,77953024
11216013,27127302.430328675,74517897.0209,1.0082592604614902,75749376
11216139,26987477.664642047,74629094.715353,1.00836115717469,75855872
11216376,26825720.84047804,74256306.846614,1.0083894331132046,75474944
11216641,26667253.592377115,76621371.130793,1.0088594418438395,77883392
11216897,26637257.247991916,76686123.030453,1.008844435841135,77965312
11217234,26433745.26173429,76525436.213725,1.0089678014610632,77785088
11217411,27166780.370942343,76462268.556219,1.0084530880433704,77768704
