block,reserve FEI,reserve DAI,price,volume for slippage 5%
12173471,5448143.529076327,4898984.136874159,0.8992024734166151,286744.39626717474
12173484,5413112.679634262,4930783.211052017,0.9108960967324934,284900.6673491718
12173499,5410838.287094418,4932862.053700451,0.9116631826654281,284780.9624786535
12173510,5407838.287094418,4935606.794707786,0.9126764767516083,284623.0677418113
12173523,5407391.331460228,4936015.981880477,0.9128275871514444,284599.5437610643
12173524,5407166.331460228,4936221.9946723785,0.9129036711802669,284587.7016558014
12173525,5448249.532358374,4899110.627939695,0.899208195006998,286749.97538728267
12173558,5447249.532358374,4900012.707448868,0.8995388733967945,286697.3438083362
12173573,5522835.981969637,4833221.689901393,0.875134026373475,290675.5779984016
12173596,5517403.309514221,4837995.007679004,0.876860859407605,290389.6478691697
12173597,5515798.238833792,4839407.077097003,0.8773720262328163,290305.17046493664
12173598,5514768.672549063,4840313.2769958265,0.8777001474403664,290250.9827657398
12173610,5496982.664061499,4856021.69468665,0.8833976731334153,289314.8770558676
12173617,5473141.466633994,4877238.3465591865,0.8911222880483499,288060.0771912625
12173620,5427045.102786832,4918789.401963493,0.9063476180505031,285633.95277825464
12173622,5405184.490917811,4938742.707916812,0.9137047433284194,284483.39425883256
12173630,5428166.027683198,4917895.734162731,0.9059958205187294,285692.94882543106
12173631,5421964.906264788,4923537.274415988,0.908072508681697,285366.57401393633
12173641,5421509.428256813,4923952.16088116,0.908225324707102,285342.6014872007
12173655,5420420.355582719,4924944.4598962655,0.908590872444765,285285.2818727745
12173667,5409570.310602692,4934852.207797357,0.912244767042792,284714.22687382624
12173674,5365797.769161924,4975569.739401251,0.927274927876825,282410.40890325885
12173719,5352663.479963192,4987989.801554104,0.931870613616159,281719.13052437827
12173747,5391308.28328915,4952342.472951874,0.9185789817106378,283753.0675415341
12173761,5424306.964646677,4922304.814022188,0.9074532186514656,285489.84024456237
12173814,5424063.504258025,4922526.417662853,0.9075348055564886,285477.0265398966
12173847,5490660.0875088135,4862998.232843593,0.8856855378658125,288982.109868885
12173876,5516171.077403583,4840575.172817395,0.8775244829962408,290324.79354755674
12173877,5515935.262797473,4840782.7374483,0.8775996284976773,290312.38225249853
12173881,5515878.821786088,4840832.419612257,0.877617615617733,290309.4116729526
12173903,5515528.821786088,4841140.529599588,0.8777291690467293,290290.99062031973
12173906,5509964.77054648,4846043.9014555765,0.8795054239475554,289998.14581823535
12173910,5509003.77054648,4846891.7972944565,0.8798127572916249,289947.5668708673
12173936,5507828.198091478,4847929.41454328,0.8801889311331715,289885.69463639427
12173941,5476695.329688682,4875570.91944328,0.8902395744041558,288247.12261519395
12173948,5510170.970743846,4846038.952083143,0.8794716130975064,290008.9984602025
12173954,5509535.970743846,4846599.16155153,0.8796746563208638,289975.57740757056
12173969,5494983.239403459,4859473.356592421,0.8843472572848049,289209.64417912904
12174009,5493813.711085304,4860510.958735537,0.8847243853442097,289148.09005712066
12174020,5552358.103899878,4809427.183650803,0.8661954242959844,292229.37388946675
12174022,5548538.494434563,4812747.951784856,0.8673902067386323,292028.3418123452
12174043,5537176.452510959,4822653.214155123,0.8709589184155728,291430.339605839
12174047,5462108.48808376,4889132.323649531,0.8950998198435193,287479.394109671
12174052,5461900.4426820325,4889319.112510949,0.8951681129709642,287468.4443516871
12174072,5460790.102829437,4890316.246842063,0.8955327259892685,287410.00541207474
12174079,5460394.005242787,4890672.058359454,0.8956628502748492,287389.15817067306
12174082,5459904.447443981,4891111.895921425,0.8958237168804607,287363.391970736
12174088,5368818.563870258,4974342.833751471,0.9265246673125757,282569.3980984343
12174092,5400441.670214465,4945301.687749331,0.9157217112490247,284233.7721165512
12174103,5357254.92758292,4985720.27057651,0.9306483148499266,281960.785662259
12174109,5359632.464596701,4983515.233368092,0.9298240628041068,282085.9191893004
12174112,5370897.268218892,4973094.207817233,0.9259335934880805,282678.80359046813
12174120,5432097.29928706,4917232.1286993185,0.9052179771052121,285899.85785721336
12174140,5451704.550998739,4899599.991061997,0.8987280849921336,286931.81847361755
12174149,5467505.193001968,4885542.4114083825,0.893559720375125,287763.4312106306
12174159,5489502.743903889,4866023.5494868215,0.8864233750298343,288921.1970475735
12174163,5522271.75043558,4837234.813523881,0.8759501582192755,290645.88160187285
12174181,5521090.854841445,4838272.553673913,0.876325472787906,290583.7292021811
12174205,5519384.82445283,4839772.553673913,0.8768681125896506,290493.9381290963
12174208,5517974.1715753535,4841013.549411393,0.8773171817926991,290419.6932408074
12174223,5516915.550876279,4841945.268911883,0.8776544111034675,290363.9763619099
12174245,5452611.569260002,4899219.335716415,0.8985087739124079,286979.556276842
12174273,5424209.734475444,4924949.446003881,0.9079570457428404,285484.72286712844
12174289,5422731.475670719,4926296.047192617,0.9084528838085794,285406.91977214254
12174340,5422174.099569308,4926803.972947163,0.9086399445083305,285377.58418785874
12174359,5418907.420085742,4929782.934638032,0.9097374345915711,285205.6536887232
12174361,5418227.638309014,4930403.296241074,0.9099660673872709,285169.8757004747
12174379,5432216.568073199,4917744.617669198,0.9052924448138333,285906.1351617472
12174382,5475461.961920679,4879030.195919084,0.8910718821262018,288182.208522141
12174392,5509090.496649084,4849336.4727457315,0.88024265996272,289952.13140258286
12174394,5508623.664972507,4849748.66931629,0.8803920841705374,289927.56131434254
12174411,5506305.419575251,4851796.6373973265,0.8811346751941682,289805.54839869775
12174418,5506188.586090849,4851899.895390003,0.8811721246973558,289799.39926793985
12174431,5503988.586090849,4853845.084501207,0.8818777525751739,289683.60979425535
12174433,5501658.842028328,4855906.688795871,0.8826259185139906,289560.99168570153
12174471,5501215.595414334,4856299.118556603,0.8827683689773372,289537.6629165439
12174485,5498883.149964306,4858365.199228221,0.8835185376251825,289414.9026297005
12174488,5498097.542542091,4859061.4859871,0.8837714224583351,289373.5548706362
