block,reserve SUSHI,reserve USDC,price,volume for slippage 5%
11422689,15454.570032131227,33940.853166,2.1961693593179485,813.3984227437468
11422695,15028.993573234477,34904.849305,2.3225007805687636,790.9996617491815
11422696,15405.212920170017,34054.913422,2.2106097201299932,810.8006800089497
11422774,15451.490997658453,33953.222132,2.1974074953119627,813.2363682978139
11422788,14572.03908048258,36008.533428,2.4710703305914765,766.9494252885579
11422790,15334.5872473068,34223.030461,2.231754263031146,807.0835393319394
11422980,15343.947082681447,34202.216941,2.2290364243763383,807.5761622463924
11423226,15383.947082681447,34113.553412,2.217477298163844,809.6814254042874
11423280,9018.15474194282,19997.553412,2.21747729820966,474.63972326014846
11423505,9036.027454787662,19958.117896,2.2087270092816467,475.5803923572439
11423667,9129.393835447245,19754.612164,2.163847076823171,480.4944123919595
11423931,9127.36487395623,19759.016716,2.164810653333234,480.3876249450659
11424404,9027.36487395623,19978.554449,2.2131103293096897,475.12446705032926
11424588,9167.36487395623,19674.35205,2.1461294843726906,482.4928881029591
11425121,9215.14450537288,19572.646888,2.1239652700604084,485.00760554594126
11425315,9203.14450537288,19598.244498,2.1295161112115935,484.37602659857293
11425638,9114.025192000276,19790.45788,2.171428920052891,479.6855364210678
11425847,9231.455284295705,19539.456098,2.116617098415672,485.86606759451206
11425992,9228.8412223436,19545.007287,2.117818132972135,485.7284853865058
11426292,9179.790372343601,19649.757389,2.1405453275054924,483.1468617022947
11427021,9271.729928390194,19455.486871,2.0983664344478985,487.9857857047482
11427272,9270.719929277699,19457.612828,2.0988243606142447,487.9326278567205
11427354,9261.352012477859,19477.35355,2.1030788510962632,487.43957960409716
11427379,9232.048517276218,19539.362751,2.1164709776422197,485.8972903829581
11427553,9212.048517276218,19581.911718,2.125684822575153,484.84465880400967
11428028,9162.048517276218,19689.097542,2.14898420422831,482.21307985664134
11428503,9181.45883717161,19647.597865,2.1399211403590552,483.2346756406114
11428507,9201.620756633436,19604.676353,2.130567741434792,484.29582929649587
11428521,9309.571023795334,19378.022036,2.081516107076215,489.97742230501717
11428574,9509.571023795334,18971.671277,1.9950081059942786,500.5037380944923
11428624,9446.827704553258,19098.055228,2.021636873804205,497.20145813438285
11428724,9476.827704553258,19037.778913,2.008876757762839,498.78040550280457
11429188,9390.827704553258,19212.64907,2.045895172870067,494.25408971332763
11429578,9380.827704553258,19233.191459,2.0502659322550625,493.72777392385433
11429840,9701.110017098663,18600.049559,1.9173114753071079,510.5847377420341
11429841,9542.74664710896,18909.649083,1.981572998034985,502.24982353205087
11429851,12639.870645849132,25046.82637,1.9815729979978274,665.2563497815336
11429855,12597.810669139953,25130.70117,1.9948467102749101,663.0426667968386
11429900,12619.099615965579,25088.431606,1.9881316709995953,664.1631376823989
11430018,12616.652269774571,25093.31284,1.988904211944993,664.0343299881351
11430380,12769.09113844009,24794.634009,1.9417696796256863,672.0574283389506
11430669,12733.559769694135,24864.028445,1.9526376672905226,670.1873562996916
11430694,12624.068862821196,25080.327705,1.9867071367824518,664.4246769905894
11430716,12644.068862821196,25040.775239,1.980436480588164,665.4773085695379
11430809,12705.068862821196,24920.907588,1.961493310825412,668.6878348853243
11431253,12757.068862821196,24819.629203,1.9455589265754891,671.4246769905894
